question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
434,580621000,Playground,1.0,4.68,2025-11-24T14:08:04.760082,0756a860_20251124_133827,What type of establishment are these people likely seated?,other,놀이터,Playground,playground,0.0,0.2615291178226471,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,playground
434,580621000,nursing home,0.75,16.77,2025-12-10T23:42:42.433215,02f952bb_20251210_230336,What type of establishment are these people likely seated?,other,요양원,nursing home,nursing home,0.0,0.34597449004650116,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,nursing home
434,580621000,bench,0.75,12.23,2025-12-08T16:20:13.661462,14d2420f_20251208_150302,What type of establishment are these people likely seated?,other,벤치,bench,bench,0.0,0.36913782954216,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,bench
434,580621000,bench,0.75,6.19,2025-12-02T10:52:51.427060,29127478_20251202_100107,What type of establishment are these people likely seated?,other,벤치,bench,bench,0.0,0.36913782954216,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,bench
434,580621000,Senior care facility,0.75,10.86,2025-11-26T09:14:51.264838,218b2db5_20251126_084136,What type of establishment are these people likely seated?,other,노인요양시설,Senior care facility,senior care facility,0.0,0.30579216182231905,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,senior care facility
434,580621000,park,0.25,16.95,2025-11-26T15:28:44.372841,3238ebaf_20251126_140604,What type of establishment are these people likely seated?,other,,park,park,0.0,0.45459024310112,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,park
434,580621000,yes,1.0,7.74,2025-12-05T23:42:09.828786,3a36e078_20251205_225238,What type of establishment are these people likely seated?,other,네,yes,yes,0.0,0.21620093286037445,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,yes
434,580621000,School,0.75,7.99,2025-11-27T15:00:22.119490,5d843d39_20251127_141921,What type of establishment are these people likely seated?,other,학교,School,school,0.0,0.407993820309639,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,school
434,580621000,Chair (I don't understand what kind of facility it is; I need an example.),0.05,41.74,2025-12-11T01:01:35.759732,60de6bd6_20251210_170035,What type of establishment are these people likely seated?,other,의자 (어떤 종류의 시설이라는 것인지 이해하지 못함 예시가 필요해요),Chair (I don't understand what kind of facility it is; I need an example.),chair i dont understand what kind of facility it is i need an example,0.0,0.31287782788276675,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,chair i don't understand what kind of facility it is i need example
434,580621000,chair,0.5,11.17,2025-11-25T14:53:17.000536,6b3a1a8d_20251125_135446,What type of establishment are these people likely seated?,other,의자,chair,chair,0.0,0.40471036434173585,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,chair
434,580621000,I don't know.,0.05,14.05,2025-12-04T22:02:11.906508,73df43f3_20251204_210431,What type of establishment are these people likely seated?,other,몰라요,I don't know.,i dont know,0.0,0.16279171258211136,"['restaurant', 'restaurant', 'restaurant', 'cafe', 'cafe', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'cafe']",restaurant,Humans,humans,inst blind,what type of,Attribute/Object,i don't know
