,answer_type,question_type,correct_mean_human,question_id_nunique,correct_mean_model
0,yes/no,is the person,95.0,1,100.0
1,yes/no,is it,89.3,5,82.2
2,yes/no,does the,87.5,6,91.7
3,yes/no,does this,83.3,5,89.4
4,yes/no,is he,80.0,2,83.3
5,yes/no,is,78.9,6,88.9
6,yes/no,is the man,78.8,4,87.5
7,yes/no,are these,77.9,7,71.8
8,yes/no,do,75.1,4,81.9
9,yes/no,is the,71.4,34,70.5
10,yes/no,are,69.5,7,62.7
11,yes/no,is this a,68.6,16,68.2
12,yes/no,could,68.3,5,72.8
13,yes/no,is this,67.6,21,70.6
14,yes/no,are they,63.0,5,62.8
15,yes/no,are there any,61.0,5,63.3
16,yes/no,are the,59.0,5,60.0
17,yes/no,is this an,57.5,2,33.3
18,yes/no,none of the above,55.2,7,62.3
19,number,what,55.0,1,33.3
20,yes/no,is that a,53.3,3,52.8
21,yes/no,is there,52.9,7,46.4
22,yes/no,do you,52.5,4,54.2
23,other,is this an,51.7,1,77.8
24,other,is that a,50.0,1,66.7
25,yes/no,can you,47.5,4,56.2
26,yes/no,are there,45.0,5,55.0
27,other,is this,43.3,1,61.1
28,other,what are the,42.5,4,52.8
29,yes/no,has,42.5,2,50.0
30,yes/no,is there a,40.2,8,56.2
31,other,does the,40.0,1,91.7
32,other,are the,37.5,2,41.7
33,number,how many,30.8,20,27.9
34,number,how many people are,27.1,3,2.8
35,number,how many people are in,24.2,2,5.6
36,other,what color is the,23.6,17,30.1
37,yes/no,was,20.0,1,33.3
38,other,is the,20.0,2,37.5
39,other,what kind of,18.6,6,44.4
40,other,what sport is,16.7,3,8.3
41,other,where is the,16.1,6,25.5
42,other,what color,15.8,6,23.2
43,other,what color is,13.7,5,32.2
44,other,who is,12.0,5,17.2
45,other,what is on the,10.8,6,24.5
46,other,what type of,10.7,5,35.6
47,other,what,10.2,20,26.7
48,other,what color are the,10.0,5,6.1
49,number,none of the above,10.0,1,30.6
50,other,what are,8.3,6,26.4
51,other,which,8.3,4,2.1
52,other,what is,7.8,9,4.6
53,other,what is the,6.8,16,16.3
54,other,what does the,5.0,3,8.3
55,other,what is the woman,5.0,1,0.0
56,other,what is the man,4.3,5,17.8
57,other,what is in the,3.3,6,29.2
58,other,why is the,3.3,1,19.4
59,other,why,1.0,5,8.3
60,number,what time,0.0,3,17.6
61,number,what does the,0.0,1,0.0
62,number,what is the,0.0,2,1.4
63,number,what number is,0.0,2,11.1
64,other,what is this,0.0,2,0.0
65,other,where are the,0.0,2,1.4
66,other,was,0.0,1,50.0
67,other,none of the above,0.0,1,0.0
