,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type
0,267,418297001,No,0.75,7.45,2025-11-24T13:55:41.351491,0756a860_20251124_133827,Is a real bird on the tower?,yes/no,없다,No,no,100.0,100.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
1,267,418297001,yes,0.75,6.91,2025-12-10T23:26:02.092141,02f952bb_20251210_230336,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,73.4,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
2,267,418297001,yes,0.25,9.37,2025-12-08T16:00:36.903066,14d2420f_20251208_150302,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,73.4,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
4,267,418297001,no,0.75,9.6,2025-12-02T10:37:32.542922,29127478_20251202_100107,Is a real bird on the tower?,yes/no,아니요,no,no,100.0,100.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
5,267,418297001,yes,0.75,14.12,2025-11-26T09:04:26.385189,218b2db5_20251126_084136,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,73.4,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
6,267,418297001,Yes,0.25,10.66,2025-11-26T15:06:03.508830,3238ebaf_20251126_140604,Is a real bird on the tower?,yes/no,,Yes,yes,0.0,73.4,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
7,267,418297001,yes,1.0,10.15,2025-12-05T23:27:27.783833,3a36e078_20251205_225238,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,73.4,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
8,267,418297001,yes,0.5,37.68,2025-11-27T14:43:41.517486,5d843d39_20251127_141921,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,73.4,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
9,267,418297001,no,0.25,14.02,2025-12-11T00:41:46.879873,60de6bd6_20251210_170035,Is a real bird on the tower?,yes/no,아니요,no,no,100.0,100.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
10,267,418297001,yes,0.25,7.66,2025-11-25T14:34:12.261412,6b3a1a8d_20251125_135446,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,73.4,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is
