question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
445,136140000,The person.,1.0,1.91,2025-11-26T09:15:29.494964,218b2db5_20251126_084136,Who is wearing glasses?,other,본인,The person.,person,100.0,0.604411917924881,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,person
445,136140000,Man,0.5,6.8,2025-12-09T17:21:47.177225,9c5d09f3_20251209_121033,Who is wearing glasses?,other,남자,Man,man,66.66666666666666,0.44570938050746917,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,man
445,136140000,Man,1.0,3.09,2025-12-05T23:43:14.949315,3a36e078_20251205_225238,Who is wearing glasses?,other,남자,Man,man,66.66666666666666,0.44570938050746917,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,man
445,136140000,Man,0.75,7.33,2025-12-04T22:03:47.097772,73df43f3_20251204_210431,Who is wearing glasses?,other,남자,Man,man,66.66666666666666,0.44570938050746917,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,man
445,136140000,Me.,0.75,2.65,2025-12-02T10:53:45.402181,29127478_20251202_100107,Who is wearing glasses?,other,저요,Me.,me,0.0,0.31187891215085983,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,me
445,136140000,A friend with poor eyesight,0.75,13.16,2025-12-08T16:22:02.492923,14d2420f_20251208_150302,Who is wearing glasses?,other,시력이 나쁜 친구,A friend with poor eyesight,friend with poor eyesight,0.0,0.19617887139320372,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,friend with poor eyesight
445,136140000,office worker,0.75,4.31,2025-12-10T23:43:50.826403,02f952bb_20251210_230336,Who is wearing glasses?,other,회사원,office worker,office worker,0.0,0.3723462849855423,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,office worker
445,136140000,Child,0.5,4.09,2025-11-24T14:09:02.270496,0756a860_20251124_133827,Who is wearing glasses?,other,어린이,Child,child,0.0,0.2994271442294121,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,child
445,136140000,Woman,0.75,3.33,2025-11-27T15:01:19.762787,5d843d39_20251127_141921,Who is wearing glasses?,other,여자,Woman,woman,0.0,0.3963227331638336,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,woman
445,136140000,4th grade boy,0.75,8.01,2025-12-11T01:03:22.474601,60de6bd6_20251210_170035,Who is wearing glasses?,other,4학년 남자아이,4th grade boy,4th grade boy,0.0,0.1911951107904315,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,4
445,136140000,Student,0.25,7.11,2025-11-25T14:54:26.644924,6b3a1a8d_20251125_135446,Who is wearing glasses?,other,학생,Student,student,0.0,0.28954570963978765,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,student
445,136140000,Woman,0.25,3.65,2025-11-26T15:31:23.309080,3238ebaf_20251126_140604,Who is wearing glasses?,other,,Woman,woman,0.0,0.3963227331638336,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,woman
445,136140000,Mom.,0.25,6.24,2025-12-13T14:40:20.027161,74d408e5_20251213_134035,Who is wearing glasses?,other,엄마,Mom.,mom,0.0,0.27912831455469134,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,mom
445,136140000,i am,0.75,2.87,2025-12-10T19:58:23.926154,825ff3e9_20251210_192335,Who is wearing glasses?,other,,i am,i am,0.0,0.22126869410276412,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,i am
445,136140000,Graduate student.,0.25,7.66,2025-12-12T00:38:03.013000,a5909497_20251211_232822,Who is wearing glasses?,other,대학원생..,Graduate student.,graduate student,0.0,0.22565233260393142,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,graduate student
445,136140000,A man and a woman,0.25,3.93,2025-11-27T20:17:13.026523,b9b2cb98_20251127_193952,Who is wearing glasses?,other,남자와 여자,A man and a woman,man and a woman,0.0,0.35828953683376313,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,man and woman
445,136140000,yes,1.0,2.4,2025-11-28T23:09:25.982221,dd0f9986_20251128_222537,Who is wearing glasses?,other,네,yes,yes,0.0,0.21046448722481728,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,yes
445,136140000,I,0.75,4.06,2025-12-03T22:25:08.365413,f616d5c7_20251203_212223,Who is wearing glasses?,other,나,I,i,0.0,0.2502040207386017,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,i
445,136140000,Mom.,1.0,2.39,2025-11-25T21:09:51.862946,d1548553_20251125_202324,Who is wearing glasses?,other,엄마,Mom.,mom,0.0,0.27912831455469134,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,mom
445,136140000,Woman,0.5,6.6,2025-12-05T15:51:33.850260,2e184452_20251205_141511_cleaned,Who is wearing glasses?,other,여자,Woman,woman,0.0,0.3963227331638336,"['him', 'man texting', 'guy with phone', 'person', 'person on phone', 'person', 'person using phone', 'man', 'man', 'person']",person,Humans,humans,inst blind,who is,Person,woman
