,qid,category,l2_category,question_en,options,answer_type,question_kr,Unnamed: 0.1,Unnamed: 0,answer,score,index,question_type,image_id,answers,multiple_choice_answer
0,664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
 ","A: In her hand 그녀의 손에, B: On her shoulder 그녀의 어깨에, C: On the ground 땅에, D: Inside the man's bag 그 남자의 가방 안에",choice,이미지 속 여성의 파란 가방은 어디에 위치해 있나요?,,,,,,,,,
1,6,coarse perception,image emotion,"What feeling is shown in this image?
 ","A: engaged 참여하는, B: lonely 외로운, C: angry 화난, D: supportive 지지하는",choice,이 이미지에 어떤 감정이 나타나고 있나요?,,,,,,,,,
2,662,instance reasoning,single-instance reasoning,"Where is the rug in the living room located?
 ","A: Next to the door 문 옆에, B: Under the table 탁자 아래에, C: In front of the window 창문 앞에, D: Under the couch 소파 아래에",choice,거실의 러그는 어디에 위치해 있나요?,,,,,,,,,
3,773,logical reasoning,common reasoning,"Is there a teddy bear in the image?
 ","A: Can't tell 알 수 없음, B: No 아니오, C: Yes 네, D: Maybe 아마도",choice,이미지에 곰인형이 있나요?,,,,,,,,,
4,556,instance reasoning,cross-instance relation reasoning,"What is the relationship between the people in the image?
 ","A: commercial 상업적인, B: professional 전문적인, C: friends 친구들, D: family 가족",choice,사진 속 사람들 간의 관계는 무엇입니까?,,,,,,,,,
5,768,logical reasoning,common reasoning,"In the picture, which direction is the baby facing?
 ","A: left 왼쪽, B: right 오른쪽, C: up 위, D: down 아래",choice,사진에서 아기가 어느 방향을 향하고 있나요?,,,,,,,,,
6,802,logical reasoning,common reasoning,"What will happen next?
 ","A: the kid is gonna slide through 그 아이가 미끄러져 지나갈 거야, B: the kid is gonna crash into the other kid 그 아이가 다른 아이와 부딪힐 거야, C: the other kid is gonna dodge 그 다른 아이가 피할 거야, D: both A,B, and C A,B, 그리고 C 모두",choice,다음에 무슨 일이 일어날까요?,,,,,,,,,
7,598,instance reasoning,single-instance reasoning,"The object shown in this figure:
 ","A: Is a colorless liquid with a slightly metallic taste, 무색의 액체로 약간의 금속 맛이 나는 물질이다, B: Is a powerful oxidizer that can cause skin and eye irritation, 피부와 눈에 자극을 유발할 수 있는 강력한 산화제이다, C: Has a boiling point of 150.2°C, 끓는점이 150.2°C이다, D: None of these options are correct. 이러한 옵션들 중 올바른 것은 없다.",choice,다음 그림에 보이는 물체는:,,,,,,,,,
8,70,coarse perception,image scene and topic,"What is the main focus of the image?
 ","A: A woman standing in front of a brick wall 한 여성이 벽돌 벽 앞에 서 있다, B: A woman standing in front of a green hedge 한 여성이 초록색 울타리 앞에 서 있다, C: A garden with a lot of flowers and bushes 꽃과 덤불이 많은 정원, D: A bench surrounded by a lot of plants 많은 식물로 둘러싸인 벤치",choice,이미지의 주요 초점은 무엇입니까?,,,,,,,,,
9,97,coarse perception,image scene and topic,"What is the predominant color of the image?
 ","A: Yellow 노란색, B: Black 검정, C: White 흰색, D: Blue 파란색",choice,이미지의 주된 색상은 무엇입니까?,,,,,,,,,
10,462,instance reasoning,cross-instance attribute reasoning,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
 ","A: same 같은, B: Not the same 다른, C: Can't judge 판단할 수 없다, D: nan 숫자가 아님",choice,사진 속에서 하나는 곰 인형이고 다른 하나는 고양이입니다. 둘은 같은 크기인가요?,,,,,,,,,
11,428,fine-grained perception,recognition,"What is the woman holding in her hand?
 ","A: A book 책, B: A camera 카메라, C: A cell phone 휴대폰, D: Nothing 아무 것도 없음",choice,여자가 손에 들고 있는 것은 무엇인가요?,,,,,,,,,
12,13,coarse perception,image emotion,"Which emotion is being depicted in this image?
 ","A: happiness, B: sadness, C: anger, D: love A: 행복, B: 슬픔, C: 분노, D: 사랑",choice,이 이미지에서 어떤 감정이 표현되고 있나요?,,,,,,,,,
13,414,fine-grained perception,recognition,"What is the most prominent color of the jacket worn by the man with the laptop?
 ","A: Blue 파란색, B: Black 검정색, C: Gray 회색, D: Red 빨간색",choice,노트북을 들고 있는 남자가 입은 재킷의 가장 눈에 띄는 색은 무엇입니까?,,,,,,,,,
14,550,instance reasoning,cross-instance relation reasoning,"What can Hazel and Xavier trade to each get what they want?
 ",A: Hazel can trade her tomatoes for Xavier's broccoli. 헤이즐은 그녀의 토마토를 자비에의 브로콜리와 교환할 수 있다. B: Hazel can trade her tomatoes for Xavier's carrots. 헤이즐은 그녀의 토마토를 자비에의 당근과 교환할 수 있다. C: Xavier can trade his broccoli for Hazel's oranges. 자비에는 자신의 브로콜리를 헤이즐의 오렌지와 교환할 수 있다. D: Xavier can trade his almonds for Hazel's tomatoes. 자비에는 자신의 아몬드를 헤이즐의 토마토와 교환할 수 있다.,choice,헤이즐과 자비에는 서로 원하는 것을 얻기 위해 무엇을 교환할 수 있나요?,,,,,,,,,
15,816,logical reasoning,common reasoning,"Which of the following objects has the highest density in the image?
 ","A: Palm trees 야자나무들, B: Trees 나무들, C: Sand 모래, D: Dead grass 죽은 풀",choice,다음 중 이미지에서 가장 밀도가 높은 객체는 무엇입니까?,,,,,,,,,
16,788,logical reasoning,common reasoning,"What is the most likely purpose of this poster?
 ","A: To celebrate New Year., B: To celebrate someone's birthday., C: To celebrate Christmas., D: To celebrate National Day. A: 새해를 축하하기 위해., B: 누군가의 생일을 축하하기 위해., C: 크리스마스를 축하하기 위해., D: 국경일을 축하하기 위해.",choice,이 포스터의 가장 가능성이 높은 목적은 무엇입니까?,,,,,,,,,
17,317,fine-grained perception,object counting,"How many teddy bears are in the picture?
 ","A: Two 두 개, B: One 한 개, C: Three 세 개, D: Four 네 개",choice,그림 속에 곰인형이 몇 개 있나요?,,,,,,,,,
18,160,coarse perception,image scene and topic,"is this place crowded?
 ","A: yes 네, B: no 아니요",choice,이 장소는 붐비나요?,,,,,,,,,
19,357,fine-grained perception,recognition,"What color is the building in the foreground?
 ","A: Blue 파란색, B: Grey 회색, C: White 흰색, D: Black 검은색",choice,전경에 보이는 건물의 색은 무엇입니까?,,,,,,,,,
20,423,fine-grained perception,recognition,"What is the shape of the object with an angel face and wings in the image?
 ","A: Egg-shaped 계란 모양, B: Square 정사각형, C: Round 원형, D: Star-shaped 별 모양",choice,이미지 속 천사 얼굴과 날개를 가진 물체의 모양은 무엇인가요?,,,,,,,,,
21,250,fine-grained perception,object counting,"How many bananas are there in the image?
 ","A: 3 삼, B: 2 이, C: 4 사, D: 5 오",choice,이미지에 바나나가 몇 개 있나요?,,,,,,,,,
22,129,coarse perception,image scene and topic,"What type of environment is depicted in the picture?
 ","A: home 집, B: shopping mall 쇼핑몰, C: street 거리, D: forest 숲",choice,사진에 묘사된 환경의 유형은 무엇입니까?,,,,,,,,,
23,349,fine-grained perception,recognition,"Roughly how much of the picture is occupied by the two people on the bench in the picture?
 ","A: more than 50% 50% 이상, B: less than 30% 30% 미만, C: 0.8 0.8, D: more than 60% 60% 이상",choice,그 그림에서 벤치에 앉아 있는 두 사람이 차지하는 부분은 대략 얼마나 됩니까?,,,,,,,,,
24,392,fine-grained perception,recognition,"What is the color of the shirt worn by a man playing the guitar?
 ","A: Blue 파란색, B: Black 검은색, C: Red 빨간색, D: White 흰색",choice,기타를 연주하는 남자가 입은 셔츠의 색은 무엇입니까?,,,,,,,,,
25,384,fine-grained perception,recognition,"What is the color of the man's tie in the image?
 ","A: Blue 파란색, B: White 흰색, C: Black 검은색, D: Red 빨간색",choice,이미지 속 남자의 넥타이 색상은 무엇입니까?,,,,,,,,,
26,502,instance reasoning,cross-instance attribute reasoning,"What's the function of the demonstrated object?
 ","A: baking 굽기, B: heating 가열, C: flavouring 향미 첨가, D: Pick-up 픽업",choice,시연된 물체의 기능은 무엇입니까?,,,,,,,,,
27,552,instance reasoning,cross-instance relation reasoning,"What can be the relationship between the two persons in this image?
 ","A: Father and daughter 아버지와 딸, B: Mother and son 어머니와 아들, C: Brother and sister 형제자매, D: Husband and wife 남편과 아내",choice,이 이미지 속 두 사람 사이의 관계는 무엇일 수 있나요?,,,,,,,,,
28,804,logical reasoning,common reasoning,"What will happen next?
 ","A: the motorcyle is gonna go forward, 오토바이가 앞으로 나아갈 것이다, B: the motorcyle is gonna crash, 오토바이가 충돌할 것이다, C: the motorcyle is gonna go backward, 오토바이가 뒤로 움직일 것이다, D: both A,B, and C A,B, 그리고 C 모두",choice,다음에 무슨 일이 일어날까요?,,,,,,,,,
29,654,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
 ","A: mason 석공, B: postman 우체부, C: singer 가수, D: soldier 군인",choice,이 사진 속 사람들의 직업은 무엇인가요?,,,,,,,,,
30,544,instance reasoning,cross-instance relation reasoning,"In nature, what's the relationship between these two creatures?
 ","A: Predatory relationships 포식 관계, B: Competitive relationships 경쟁 관계, C: Parasitic relationships 기생 관계, D: Symbiotic relationship 공생 관계",choice,자연에서 이 두 생물 사이의 관계는 무엇인가요?,,,,,,,,,
