,index,question,answer,category,l2_category,meta_info,pid,output,extracted_choice,correct,model,condition,meta_model,Unnamed: 0,qid,answer_type,num_responses,answers,extracted_choices,confidences,mean_accuracy,std_accuracy,mean_confidence,std_confidence,accuracies,subject_agreements,agreement,human_qid,original_question
0,0,"Which option describe the object relationship in the image correctly?
Options: A: The suitcase is on the book., B: The suitcase is beneath the cat., C: The suitcase is beneath the bed., D: The suitcase is beneath the book.",A,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/0.jpg'}",0,D: The suitcase is beneath the book.,D,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
1,1,"What is the main feature in the background of the image?
Options: A: A park bench near the water., B: A couple sitting on a bench., C: A body of water and the Golden Gate Bridge., D: A mountain in the distance.",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/1.jpg'}",1,C: A body of water and the Golden Gate Bridge.,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
3,3,"What is the most prominent feature in the image?
Options: A: The skyline, B: The golf course, C: The trees, D: The person",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/3.jpg'}",3,B: The golf course,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
4,4,"What is the center of focus in the image?
Options: A: A man writing in a book, B: A boy with his head in his hands surrounded by books, C: A cluttered desk with books and a pen, D: A stack of books covering a young man's face",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/4.jpg'}",4,B: A boy with his head in his hands surrounded by books,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
7,7,"What is the primary subject in this image?
Options: A: a guitar, B: a man on stage, C: a microphone, D: a concert",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/7.jpg'}",7,B: a man on stage,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
9,9,"What feeling is represented in this image?
Options: A: engaged, B: distressed, C: angry, D: sad",D,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/9.jpg'}",9,A: engaged,A,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
10,10,"What time of day is it in the image?
Options: A: Noon, B: Evening, C: Night, D: Dawn",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/10.jpg'}",10,B: Evening,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
12,12,"What is the main focus of this image?
Options: A: The grassy hill, B: The sculpture, C: The fence, D: The building",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/12.jpg'}",12,"The main focus of this image is:

C: The fence",C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
13,13,"Which mood does this image convey?
Options: A: Sad, B: Cozy, C: Happy, D: Angry",B,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/13.jpg'}",13,C: Happy,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
17,17,"What is the overall theme of the image?
Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/17.jpg'}",17,D: Urban street style,D,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
