,index,qid,question_type,question_en,question_kr,answer_type
0,0,418297001,is,Is a real bird on the tower?,탑 위에 진짜 새가 있나요?,text
1,1,444302001,what is the,What is the number on the pole?,기둥에 있는 숫자는 무엇인가요?,text
2,2,244019002,has,Has the wall been tagged?,벽에 태그가 붙었나요?,text
3,3,297269002,what color is the,What color is the label on the side of the bottom appliance?,하단 가전제품 측면의 라벨은 어떤 색인가요?,text
4,4,22656001,is there,Is there toothpaste on the sink?,싱크대에 치약이 있나요?,text
5,5,552849003,none of the above,Where is a man wearing a white robe?,흰 가운을 입은 남자는 어디에 있나요?,text
6,6,96762000,how many,How many American flags are in the picture?,사진에는 몇 개의 국기가 있나요?,text
7,7,537701022,does this,Does this man's tie match the background?,이 남자의 넥타이가 배경과 일치하나요?,text
8,8,326814006,is the,Is the electricity in the room turned on?,방에 전기가 켜져 있나요?,text
9,9,466838000,is this a,Is this a normal size slice of pizza?,이것은 보통 크기의 피자 조각인가요?,text
10,10,399516001,none of the above,Did you try any of these?,이것들 중 하나라도 시도해 보셨나요?,text
11,11,280238001,do you,Do you see a street light?,가로등 보이시나요?,text
12,12,563730000,what color is the,What color is the fork?,포크는 어떤 색인가요?,text
13,13,153782000,is this a,Is this a 3-D photo?,이것은 3D 사진인가요?,text
14,14,79930001,how many people are,How many people are on the motorcycle?,오토바이에 몇 명이 타고 있나요?,text
15,15,4495000,what,What item in the room is plaid?,방 안에 어떤 물건이 격자무늬로 되어 있나요?,text
16,16,301305003,none of the above,Does anyone have on glasses?,안경 쓴 사람 있나요?,text
17,17,241209002,what color is the,What color is the table?,테이블의 색상은 무엇인가요?,text
18,18,208566001,how many,How many containers of peanut butter are on the table?,테이블 위에 땅콩버터 용기가 몇 개 있습니까?,text
19,19,480416017,is it,Is it raining?,비가 오나요?,text
20,20,360698008,is the,Is the weather safe for flying?,날씨가 비행하기에 안전한가요?,text
21,21,527038002,what,What website is shown?,어떤 웹사이트가 표시되나요?,text
22,22,562347009,what is the man,What is the man doing?,남자는 무엇을 하고 있나요?,text
23,23,357532001,is there a,Is there a fence around the top row of seats?,좌석 맨 윗줄에 울타리가 있나요?,text
24,24,35105002,how many,How many cars are there?,차가 몇 대 있습니까?,text
25,25,316596001,what is the,What is the cake sitting on?,케이크가 무엇 위에 놓여 있나요?,text
26,26,578093003,is this a,Is this a boathouse?,여기가 보트 하우스인가요?,text
27,27,163280011,what are,What are they researching?,그들은 무엇을 연구하고 있습니까?,text
28,28,280242009,what is the,What is the reflection?,반성이란 무엇인가요?,text
29,29,98658002,is there a,Is there a passenger in the truck?,트럭에 승객이 있습니까?,text
30,30,196516003,is he,Is he flipping the board?,그가 보드를 뒤집고 있나요?,text
31,31,343481000,are these,Are these sheep in a box?,이 양들은 상자에 들어 있나요?,text
32,32,66543002,is this a,Is this a busy area?,여기가 번잡한 지역인가요?,text
33,33,94663002,can you,Can you see the sky from this photo?,이 사진에서 하늘이 보이나요?,text
34,34,491242000,what is the man,What is the man wearing?,남자는 무엇을 입고 있나요?,text
35,35,55772003,what is on the,What is on the plate?,접시 위에 무엇이 있나요?,text
36,36,364725009,is this a,Is this a puppy?,강아지인가요?,text
37,37,521669001,what is the man,What is the man holding in his hand?,남자가 손에 들고 있는 것은 무엇입니까?,text
38,38,224595001,is the,Is the plane flying?,비행기가 날고 있나요?,text
39,39,19109001,is that a,Is that a restaurant?,식당인가요?,text
40,40,522232002,is the man,Is the man wearing a helmet?,남자가 헬멧을 쓰고 있나요?,text
41,41,235597003,what color is the,What color is the mouse?,마우스는 어떤 색인가요?,text
42,42,504827000,what color is the,What color is the soap in the dispenser?,디스펜서의 비누는 어떤 색인가요?,text
43,43,523871003,are these,Are these people real?,이 사람들 진짜인가요?,text
44,44,239992006,what is the,What is the plane on the left?,왼쪽에 있는 비행기는 무엇인가요?,text
45,45,503210000,what is,What is hanging on the left wall?,왼쪽 벽에는 무엇이 걸려 있나요?,text
46,46,122981001,is the,Is the boy playing?,소년이 놀고 있나요?,text
47,47,273420002,who is,Who is the man talking to on the phone?,남자가 전화로 누구와 이야기하고 있습니까?,text
48,48,205594005,what sport is,What sport is this?,이 스포츠는 무엇인가요?,text
49,49,176149002,what kind of,What kind of street sign is in the picture?,사진 속에는 어떤 종류의 거리 표지판이 있나요?,text
50,50,11241003,is this,Is this enough food for more than two people?,이 음식은 두 명 이상이 먹을 수 있는 양인가요?,text
51,51,47837003,how many people are,How many people are wearing glasses?,안경을 쓰고 있는 사람은 몇 명입니까?,text
52,52,525021007,none of the above,Does everyone have helmets on?,모두 헬멧을 쓰고 있나요?,text
53,53,346577000,what color is,What color is his shirt?,그의 셔츠는 무슨 색인가요?,text
54,54,183715005,what,What flavor is the frosting on the cake?,케이크의 프로스팅은 어떤 맛인가요?,text
55,55,512760019,what color are the,What color are the cabinets?,캐비닛은 어떤 색인가요?,text
56,56,570528001,is the,Is the pet in its bed?,애완동물이 침대에 있나요?,text
57,57,459301002,what,What covers the ground?,무엇이 땅을 덮고 있습니까?,text
58,58,492271002,what,What herb is the man trimming?,남자가 다듬고 있는 허브는 무엇인가요?,text
59,59,572178006,is this,Is this photo in color?,이 사진은 색상인가요?,text
60,60,28682012,is there a,Is there a kettle on the stove?,스토브에 주전자가 있나요?,text
61,61,131869001,what sport is,What sport is being played?,어떤 스포츠가 진행되고 있나요?,text
62,62,532812006,what sport is,What sport is being played in this scene?,이 장면에서 어떤 스포츠가 진행되고 있나요?,text
63,63,119802000,do,Do any cars have their lights on?,불이 켜져 있는 차가 있나요?,text
64,64,524282006,are these,Are these women wearing skirts?,이 여성들은 치마를 입고 있나요?,text
65,65,563295006,is the,Is the sky clear?,하늘이 맑나요?,text
66,66,126592007,what,What road is nearby?,근처에 어떤 도로가 있나요?,text
67,67,114941009,what color is the,What color is the train?,기차는 어떤 색인가요?,text
68,68,455219002,how many,How many animals are there?,동물이 몇 마리 있나요?,text
69,69,127660002,is this,"Is this woman ""dressed her age""?","이 여성은 ""나이를 차려입었나요?""",text
70,70,330955003,what is on the,What is on the kids head?,아이들 머리에는 무엇이 있나요?,text
71,71,437947001,where is the,Where is the sink in the picture?,사진 속 싱크대는 어디에 있나요?,text
72,72,450709003,what is,What is she wearing on her eyes?,그녀는 눈에 무엇을 입고 있나요?,text
73,73,554459002,which,Which one is wearing sunglasses?,선글라스를 쓰고 있는 사람은 누구인가요?,text
74,74,60347004,does the,Does the chair have a cup holder?,의자에 컵 홀더가 있나요?,text
75,75,345154001,which,Which sport item is higher in the air?,어떤 스포츠 아이템이 더 높은가요?,text
76,76,193743000,which,Which foot is in front of the other?,어느 발이 다른 발 앞에 있나요?,text
77,77,201426002,how many,How many kids are here?,여기 아이들이 몇 명 있나요?,text
78,78,135666002,none of the above,"Based on the clothing, Is it cold outside?",옷을 보니 밖이 춥나요?,text
79,79,133933006,is this,Is this someone's house?,여기가 누군가의 집인가요?,text
80,80,531000002,how many,How many animals are in the picture?,사진에 동물이 몇 마리 있나요?,text
81,81,143560011,was,Was this picture taken in the daytime?,이 사진은 낮에 찍혔나요?,text
82,82,493206001,what,What vegetable is present in this food?,이 음식에는 어떤 채소가 포함되어 있습니까?,text
83,83,480379002,is the,Is the boat in the water?,보트가 물속에 있나요?,text
84,84,522446001,how many people are,How many people are sitting at the bar?,바에 몇 명이 앉아 있나요?,text
85,85,388974004,what is the,What is the baby eating?,아기가 무엇을 먹고 있나요?,text
86,86,8351002,are the,Are the dogs the same breed?,개들이 같은 품종인가요?,text
87,87,531086004,are there any,Are there any magnets on the fridge?,냉장고에 자석이 있나요?,text
88,88,315621001,is this a,Is this a popular location?,이곳이 인기 있는 장소인가요?,text
89,89,53838004,what is on the,What is on the plane?,비행기에 무엇이 있나요?,text
90,90,232684002,what is,What is around the man's neck?,남자의 목 주위에는 무엇이 있나요?,text
91,91,358268007,what,What game is represented in the hands of the man on the left?,왼쪽에 있는 남자의 손에는 어떤 게임이 그려져 있나요?,text
92,92,566026000,what time,What time is it?,지금 몇 시예요?,text
93,93,283217022,what are the,What are the kids holding?,아이들이 무엇을 들고 있나요?,text
94,94,388601002,what,What food is the sleeping bag?,침낭은 어떤 음식인가요?,text
95,95,504561001,how many,How many women?,여자가 몇 명입니까?,text
96,96,420230006,is this,Is this elephant sick?,이 코끼리가 아프신가요?,text
97,97,358090001,what color,What color coat is this person wearing?,이 사람은 어떤 색 코트를 입고 있나요?,text
98,98,322482003,why,Why doesn't he need his sunglasses on right now?,그는 왜 지금 당장 선글라스를 쓰지 않나요?,text
99,99,214471008,what is,What is piled on top of the sandwich?,샌드위치 위에 무엇이 쌓여 있나요?,text
100,0,345361001,are,Are all of these children wearing hats?,이 아이들 모두 모자를 쓰고 있나요?,text
101,1,88120004,are,Are her pants tight?,그녀의 바지는 꽉 끼나요?,text
102,2,244750002,are,Are all three glasses filled with the same amount of wine?,세 잔 모두 같은 양의 와인으로 채워져 있나요?,text
103,3,390760002,are,Are all the kites the same?,모든 연이 같은가요?,text
104,4,447549001,are,Are all the trees green?,모든 나무가 초록색인가요?,text
105,5,381246001,are there,Are there peppers on the pizza?,피자에 고추가 있나요?,text
106,6,232790002,are there,Are there more ties that has stripes than there are plain?,줄무늬가 있는 넥타이가 일반 넥타이보다 더 많습니까?,text
107,7,331475002,are there,Are there cigarettes in the ashtray?,재떨이에 담배가 있나요?,text
108,8,196681009,are there,Are there clouds in the sky?,하늘에 구름이 있나요?,text
109,9,102411000,are there,Are there waves in this photo?,이 사진에 파도가 있나요?,text
110,10,531086004,are there any,Are there any magnets on the fridge?,냉장고에 자석이 있나요?,text
111,11,343496001,are there any,Are there any animals in this photo?,이 사진에 동물이 있나요?,text
112,12,161231011,are there any,Are there any weeds growing along the tracks?,선로를 따라 잡초가 자라고 있나요?,text
113,13,297819007,are there any,Are there any napkins in this photo?,이 사진에 냅킨이 있나요?,text
114,14,76384019,are there any,Are there any utensils shown?,보여주는 도구가 있나요?,text
115,15,200939002,are they,Are they married?,그들은 결혼했나요?,text
116,16,204051000,are they,Are they taking a selfie?,셀카를 찍고 있나요?,text
117,17,107511001,are they,Are they in the zoo?,그들은 동물원에 있나요?,text
118,18,528062000,are they,Are they in the kitchen?,그들은 부엌에 있나요?,text
119,19,380143002,are they,Are they playing?,그들은 놀고 있나요?,text
120,20,550432000,could,Could a cactus grow in this climate?,선인장이 이 기후에서 자랄 수 있을까요?,text
121,21,404437001,could,Could the bear be tame?,곰이 길들일 수 있을까요?,text
122,22,460927006,could,Could this animal be someone's pet?,이 동물이 누군가의 애완동물이 될 수 있을까요?,text
123,23,458702007,could,Could there be a vending machine?,자판기가 있을까요?,text
124,24,51576002,could,Could that be a waterhole?,물웅덩이가 될 수 있나요?,text
125,25,117725018,do you,Do you see a bell?,종이 보이나요?,text
126,26,212759008,do you,Do you see any grass?,잔디가 보이나요?,text
127,27,321217002,do you,Do you see the sea?,바다가 보이나요?,text
128,28,280238001,do you,Do you see a street light?,가로등 보이시나요?,text
129,29,244019002,has,Has the wall been tagged?,벽에 태그가 붙었나요?,text
