question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
343,201426002,2,0.5,3.67,2025-12-04T21:51:36.509073,73df43f3_20251204_210431,How many kids are here?,number,,2,2,100.0,1.0,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,two people,1.0,3.06,2025-12-05T23:34:20.666194,3a36e078_20251205_225238,How many kids are here?,number,2명,two people,two people,100.0,0.24023482203483582,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,2,0.25,3.01,2025-11-26T15:17:56.480781,3238ebaf_20251126_140604,How many kids are here?,number,,2,2,100.0,1.0,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,2,1.0,3.18,2025-11-26T09:09:37.168230,218b2db5_20251126_084136,How many kids are here?,number,,2,2,100.0,1.0,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,2,0.75,4.26,2025-11-25T21:03:42.245920,d1548553_20251125_202324,How many kids are here?,number,,2,2,100.0,1.0,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,two people,0.25,5.99,2025-11-27T20:08:49.688679,b9b2cb98_20251127_193952,How many kids are here?,number,2명,two people,two people,100.0,0.24023482203483582,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,2,0.75,3.22,2025-12-10T19:50:21.418330,825ff3e9_20251210_192335,How many kids are here?,number,,2,2,100.0,1.0,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,2,0.25,4535.99,2025-12-09T17:04:58.136744,9c5d09f3_20251209_121033,How many kids are here?,number,,2,2,100.0,1.0,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,2
343,201426002,Nobody.,0.75,2.98,2025-12-02T10:45:38.599136,29127478_20251202_100107,How many kids are here?,number,없어요,Nobody.,nobody,0.0,0.30003276467323303,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,nobody
343,201426002,Three people,0.5,3.04,2025-12-08T16:10:33.191451,14d2420f_20251208_150302,How many kids are here?,number,3명,Three people,three people,0.0,0.31362035870552063,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,3
343,201426002,Three people,0.5,3.27,2025-12-10T23:33:07.433024,02f952bb_20251210_230336,How many kids are here?,number,3명,Three people,three people,0.0,0.31362035870552063,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,3
343,201426002,1,0.75,2.22,2025-11-24T14:01:32.486213,0756a860_20251124_133827,How many kids are here?,number,,1,1,0.0,0.8055647611618042,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,1
343,201426002,3,0.25,4.04,2025-12-13T14:27:27.262009,74d408e5_20251213_134035,How many kids are here?,number,,3,3,0.0,0.8665115833282471,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,3
343,201426002,Three people,0.05,3.49,2025-11-25T14:44:54.412205,6b3a1a8d_20251125_135446,How many kids are here?,number,3명,Three people,three people,0.0,0.31362035870552063,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,3
343,201426002,1,0.75,11.34,2025-12-11T00:51:56.359417,60de6bd6_20251210_170035,How many kids are here?,number,,1,1,0.0,0.8055647611618042,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,1
343,201426002,1,0.5,2.15,2025-11-27T14:49:46.437534,5d843d39_20251127_141921,How many kids are here?,number,,1,1,0.0,0.8055647611618042,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,1
343,201426002,Five people,0.75,3.72,2025-12-12T00:23:51.966027,a5909497_20251211_232822,How many kids are here?,number,5명,Five people,five people,0.0,0.28365930914878845,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,5
343,201426002,Three people,1.0,3.24,2025-11-28T23:01:58.328445,dd0f9986_20251128_222537,How many kids are here?,number,3명,Three people,three people,0.0,0.31362035870552063,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,3
343,201426002,Three people,0.75,4.19,2025-12-03T22:16:02.848473,f616d5c7_20251203_212223,How many kids are here?,number,3명,Three people,three people,0.0,0.31362035870552063,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,3
343,201426002,3,0.5,2.94,2025-12-05T15:41:46.984075,2e184452_20251205_141511_cleaned,How many kids are here?,number,,3,3,0.0,0.8665115833282471,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",2,Humans,humans,inst blind,how many,Number,3
