,question_id,category,question,answer,human_answers,human_acc,JS-Blind MMStar (n=15)_results,JS-Blind MMStar (n=15)_outputs,SFT-Blind MMStar_results,SFT-Blind MMStar_outputs,SFT-Blind MMStar (n=15)_results,SFT-Blind MMStar (n=15)_outputs,Pretrained_results,Pretrained_outputs,model_acc
0,756.0,logical reasoning,"Where is the woman holding her belly in the image?
Options: A: With both hands, B: With her right hand, C: With her left hand, D: She's not holding her belly
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'D', 'C', 'C', 'C', 'A',
 'A', 'A', 'D', 'D', 'A']
Length: 20, dtype: str",50.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'A'}, {'InternVL 3.5 (8B)': 'A'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'A'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'B'}]",33.333333333333336
1,762.0,logical reasoning,"In the picture, which direction is the baby facing?
Options: A: left, B: right, C: up, D: down
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'A', 'C', 'A', 'C', 'C', 'C', 'A', 'C', 'C', 'A', 'A',
 'C', 'A', 'C', 'A', 'D']
Length: 20, dtype: str",20.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'A'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'A'}, {'InternVL 3.5 (8B)': 'B'}]",66.66666666666667
2,764.0,logical reasoning,"What type of vegetation is visible in the image?
Options: A: Trees only, B: A mix of trees and bushes, C: Bushes only, D: Grass
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,"<StringArray>
['A', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'D',
 'B', 'B', 'B', 'D', 'B']
Length: 20, dtype: str",5.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'B'}]",0.0
3,770.0,logical reasoning,"Approximately what proportion of the picture is occupied by the bus in the image?
Options: A: 0.8, B: 1, C: 0.6, D: 0.3
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,"<StringArray>
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'D', 'B', 'A', 'A',
 'A', 'B', 'D', 'A', 'D']
Length: 20, dtype: str",50.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'D'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'A'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'D'}]",33.333333333333336
4,794.0,logical reasoning,"What will happen next?
Options: A: the person is gonna fall off the ladder, B: the person is gonna stand still on the ladder, C: someone is gonna come and hold the ladder, D: both A,B, and C
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,"<StringArray>
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'D', 'C',
 'D', 'B', 'B', 'B', 'D']
Length: 20, dtype: str",60.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'A'}]",33.333333333333336
5,812.0,logical reasoning,"Is there a teddy bear in the image?
Options: A: Can't tell, B: No, C: Yes, D: Maybe
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'B', 'C', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'D', 'A',
 'C', 'A', 'D', 'D', 'C']
Length: 20, dtype: str",25.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'C'}]","[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'C'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'C'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'C'}]",66.66666666666667
6,834.0,logical reasoning,"What is the referee doing in the image?
Options: A: Blowing the whistle, B: Talking to the players, C: Watching the match from the sideline, D: Scoring the goal
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,"<StringArray>
['C', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A',
 'A', 'A', 'A', 'B', 'B']
Length: 20, dtype: str",10.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'A'}, {'InternVL 3.5 (8B)': 'A'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'C'}]",66.66666666666667
7,844.0,logical reasoning,"Which of the following objects has the highest density in the image?
Options: A: Palm trees, B: Trees, C: Sand, D: Dead grass
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,"<StringArray>
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'D', 'B', 'B', 'B', 'A',
 'D', 'B', 'A', 'A', 'B']
Length: 20, dtype: str",45.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'C'}]","[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'C'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'C'}]",66.66666666666667
8,860.0,logical reasoning,"In the diagram shown, which organism consumes small fish as food?
Options: A: mahi mahi, B: large shark, C: zooplankton, D: mackerel
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,"<StringArray>
['D', 'D', 'A', 'B', 'B', 'B', 'B', 'A', 'C', 'B', 'A', 'C', 'A', 'B', 'B',
 'B', 'B', 'B', 'C', 'B']
Length: 20, dtype: str",10.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]",0.0
9,868.0,logical reasoning,"Which can be the associated text with this image posted on twitter
Options: A: if anyone has super mario maker 2, make sure to stop by my account and play a few of my levels. most of these levels are from 4-1 years ago, tho, i do have a super world in the works!, B: 2017年10月27日発売のNintendo Switchソフト『スーパーマリオ オデッセイ』の公式アカウントです。3Dマリオ最新作『スーパーマリオ オデッセイ』に関するゲーム情報やお知らせをディレクターの元倉がお伝えします。 ※ご質問・お問い合わせにはお答えしておりませんのでご容赦ください。, C: happy tears of the kingdom day!! #kirby #zelda, D: See You In July - Kirby Gamble Galaxy Stories #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,"<StringArray>
['A', 'A', 'A', 'C', 'B', 'B', 'B', 'B', 'D', 'D', 'C', 'D', 'C', 'B', 'D',
 'B', 'D', 'D', 'B', 'B']
Length: 20, dtype: str",15.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'A'}]","[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'A'}]",66.66666666666667
