,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type
0,267,418297001,No,0.75,7.45,2025-11-24T13:55:41.351491,0756a860_20251124_133827,Is a real bird on the tower?,yes/no,없다,No,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
1,267,418297001,yes,0.75,6.91,2025-12-10T23:26:02.092141,02f952bb_20251210_230336,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
2,267,418297001,yes,0.25,9.37,2025-12-08T16:00:36.903066,14d2420f_20251208_150302,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
4,267,418297001,no,0.75,9.6,2025-12-02T10:37:32.542922,29127478_20251202_100107,Is a real bird on the tower?,yes/no,아니요,no,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
5,267,418297001,yes,0.75,14.12,2025-11-26T09:04:26.385189,218b2db5_20251126_084136,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
6,267,418297001,Yes,0.25,10.66,2025-11-26T15:06:03.508830,3238ebaf_20251126_140604,Is a real bird on the tower?,yes/no,,Yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
7,267,418297001,yes,1.0,10.15,2025-12-05T23:27:27.783833,3a36e078_20251205_225238,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
8,267,418297001,yes,0.5,37.68,2025-11-27T14:43:41.517486,5d843d39_20251127_141921,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
9,267,418297001,no,0.25,14.02,2025-12-11T00:41:46.879873,60de6bd6_20251210_170035,Is a real bird on the tower?,yes/no,아니요,no,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
10,267,418297001,yes,0.25,7.66,2025-11-25T14:34:12.261412,6b3a1a8d_20251125_135446,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
11,267,418297001,yes,0.25,9.96,2025-12-04T21:42:35.151614,73df43f3_20251204_210431,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
12,267,418297001,no,0.75,82.25,2025-12-13T14:14:29.633976,74d408e5_20251213_134035,Is a real bird on the tower?,yes/no,아니요,no,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
13,267,418297001,Yes,0.5,6.8,2025-12-09T14:55:45.538364,9c5d09f3_20251209_121033,Is a real bird on the tower?,yes/no,예,Yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
14,267,418297001,yes,0.75,6.93,2025-12-10T19:43:44.193727,825ff3e9_20251210_192335,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
15,267,418297001,yes,0.5,15.66,2025-12-12T00:10:56.513631,a5909497_20251211_232822,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
16,267,418297001,yes,0.25,9.92,2025-11-27T20:01:29.418118,b9b2cb98_20251127_193952,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
17,267,418297001,Yes 53,1.0,13.01,2025-11-28T22:56:13.628407,dd0f9986_20251128_222537,Is a real bird on the tower?,yes/no,네53,Yes 53,yes 53,0.0,0.3664579391479492,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
18,267,418297001,yes,0.75,6.56,2025-12-03T22:09:05.526542,f616d5c7_20251203_212223,Is a real bird on the tower?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
19,267,418297001,Yes,0.75,7.04,2025-11-25T20:56:34.626780,d1548553_20251125_202324,Is a real bird on the tower?,yes/no,예,Yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
20,267,418297001,yes,0.5,8.46,2025-12-05T15:33:19.425687,2e184452_20251205_141511_cleaned,Is a real bird on the tower?,yes/no,,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is,Yes/No
21,268,444302001,7,1.0,3.06,2025-11-24T13:55:44.606653,0756a860_20251124_133827,What is the number on the pole?,number,,7,7,0.0,0.5152671933174133,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
22,268,444302001,8,0.75,7.81,2025-12-10T23:26:10.090227,02f952bb_20251210_230336,What is the number on the pole?,number,,8,8,0.0,0.5142699480056763,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
23,268,444302001,9,0.5,5.1,2025-12-08T16:00:42.216097,14d2420f_20251208_150302,What is the number on the pole?,number,,9,9,0.0,0.49043747782707214,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
