,category,l2_category,question_id,question_en,question_kr,options,answer_type,question,answer,correct
0,instance reasoning,single-instance reasoning,664.0,"Where is the woman's blue bag located in the image?
 ","이미지에서 여자의 파란 가방은 어디에 있나요? A: 그녀의 손에, B: 어깨에, C: 바닥에, D: 남자의 가방 안에."""," A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",choice,,,
1,coarse perception,image emotion,6.0,"What feeling is shown in this image?
 ","이 이미지에는 어떤 느낌이 담겨 있나요? A: 참여, B: 외로운, C: 화난, D: 지지"""," A: engaged, B: lonely, C: angry, D: supportive",choice,,,
2,instance reasoning,single-instance reasoning,662.0,"Where is the rug in the living room located?
 ","거실의 러그는 어디에 있나요?
A: 문 옆, B: 테이블 아래, C: 창문 앞, D: 소파 아래"," A: Next to the door, B: Under the table, C: In front of the window, D: Under the couch",choice,,,
3,logical reasoning,common reasoning,773.0,"Is there a teddy bear in the image?
 ","이미지에 곰 인형이 있나요?
옵션: A: 알 수 없습니다, B: 아니요, C: 네, D: 아마도요."""," A: Can't tell, B: No, C: Yes, D: Maybe",choice,,,
4,instance reasoning,cross-instance relation reasoning,556.0,"What is the relationship between the people in the image?
 ","이미지 속 사람들 사이의 관계는 무엇인가요? A: 광고, B: 전문가, C: 친구, D: 가족"""," A: commercial, B: professional, C: friends, D: family",choice,,,
5,logical reasoning,common reasoning,768.0,"In the picture, which direction is the baby facing?
 ","""사진에서 아기는 어느 방향을 향하고 있습니까? A: 왼쪽, B: 오른쪽, C: 위쪽, D: 아래쪽"""," A: left, B: right, C: up, D: down",choice,,,
6,logical reasoning,common reasoning,802.0,"What will happen next?
 ","다음에는 어떻게 될까요? 옵션: A: 아이는 미끄러져 지나갈 것이고, B: 아이는 다른 아이와 충돌할 것입니다, C: 다른 아이는 피할 것입니다, D: A, B, C 모두."""," A: the kid is gonna slide through, B: the kid is gonna crash into the other kid, C: the other kid is gonna dodge, D: both A,B, and C",choice,,,
7,instance reasoning,single-instance reasoning,598.0,"The object shown in this figure:
 ","이 그림에 표시된 객체: A: 약간 금속 맛이 나는 무색 액체, B: 피부와 눈에 자극을 줄 수 있는 강력한 산화제, C: 끓는점이 150.2°C, D: 이 옵션 중 어느 것도 올바르지 않습니다."""," A: Is a colorless liquid with a slightly metallic taste, B: Is a powerful oxidizer that can cause skin and eye irritation, C: Has a boiling point of 150.2°C, D: None of these options are correct.",choice,,,
9,coarse perception,image scene and topic,70.0,"What is the main focus of the image?
 ","이미지의 주요 초점은 무엇입니까?
 옵션: A: 벽돌 벽 앞에 서 있는 여자, B: 녹색 울타리 앞에 서 있는 여자, C: 꽃과 덤불이 많은 정원, D: 많은 식물로 둘러싸인 벤치"""," A: A woman standing in front of a brick wall, B: A woman standing in front of a green hedge, C: A garden with a lot of flowers and bushes, D: A bench surrounded by a lot of plants",choice,,,
10,coarse perception,image scene and topic,97.0,"What is the predominant color of the image?
 ","이미지의 주요 색상은 무엇입니까?
 옵션: A: 노란색, B: 검은색, C: 흰색, D: 파란색"""," A: Yellow, B: Black, C: White, D: Blue",choice,,,
