model,question_id,question,korean,question_type,acc,InternVL2_5-1B,InternVL2_5-2B,InternVL2_5-4B,InternVL2_5-8B,InternVL3-2B,InternVL3-8B,Qwen2.5-VL-3B-Instruct,Qwen2.5-VL-7B-Instruct,gemma-3-4b-it,mean_acc
0,345361001,"Are all of these children wearing hats?
이 아이들 모두 모자를 쓰고 있나요?",이 아이들 모두 모자를 쓰고 있나요?,are,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1,88120004,"Are her pants tight?
그녀의 바지는 꽉 끼나요?",그녀의 바지는 꽉 끼나요?,are,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2,244750002,"Are all three glasses filled with the same amount of wine?
세 잔 모두 같은 양의 와인으로 채워져 있나요?",세 잔 모두 같은 양의 와인으로 채워져 있나요?,are,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,90.0
3,390760002,"Are all the kites the same?
모든 연이 같은가요?",모든 연이 같은가요?,are,,33.33333333,33.33333333,33.33333333,33.33333333,,33.33333333,0.0,33.33333333,33.33333333,29.16666667
4,447549001,"Are all the trees green?
모든 나무가 초록색인가요?",모든 나무가 초록색인가요?,are,,100.0,100.0,100.0,100.0,,100.0,0.0,100.0,0.0,75.0
5,381246001,"Are there peppers on the pizza?
피자에 고추가 있나요?",피자에 고추가 있나요?,are there,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,100.0,12.5
6,232790002,"Are there more ties that has stripes than there are plain?
줄무늬가 있는 넥타이가 일반 넥타이보다 더 많습니까?",줄무늬가 있는 넥타이가 일반 넥타이보다 더 많습니까?,are there,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,87.5
7,331475002,"Are there cigarettes in the ashtray?
재떨이에 담배가 있나요?",재떨이에 담배가 있나요?,are there,,100.0,0.0,100.0,100.0,,100.0,100.0,0.0,0.0,62.5
8,196681009,"Are there clouds in the sky?
하늘에 구름이 있나요?",하늘에 구름이 있나요?,are there,,100.0,100.0,100.0,100.0,,100.0,0.0,100.0,100.0,87.5
9,102411000,"Are there waves in this photo?
이 사진에 파도가 있나요?",이 사진에 파도가 있나요?,are there,,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,100.0,25.0
10,531086004,"Are there any magnets on the fridge?
냉장고에 자석이 있나요?",냉장고에 자석이 있나요?,are there any,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,100.0,12.5
11,343496001,"Are there any animals in this photo?
이 사진에 동물이 있나요?",이 사진에 동물이 있나요?,are there any,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,87.5
12,161231011,"Are there any weeds growing along the tracks?
선로를 따라 잡초가 자라고 있나요?",선로를 따라 잡초가 자라고 있나요?,are there any,,100.0,100.0,100.0,0.0,,0.0,0.0,0.0,100.0,50.0
13,297819007,"Are there any napkins in this photo?
이 사진에 냅킨이 있나요?",이 사진에 냅킨이 있나요?,are there any,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,87.5
14,76384019,"Are there any utensils shown?
보여주는 도구가 있나요?",보여주는 도구가 있나요?,are there any,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
15,200939002,"Are they married?
그들은 결혼했나요?",그들은 결혼했나요?,are they,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
16,204051000,"Are they taking a selfie?
셀카를 찍고 있나요?",셀카를 찍고 있나요?,are they,,100.0,100.0,100.0,100.0,,33.33333333,100.0,100.0,33.33333333,83.33333333
17,107511001,"Are they in the zoo?
그들은 동물원에 있나요?",그들은 동물원에 있나요?,are they,,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,12.5
18,528062000,"Are they in the kitchen?
그들은 부엌에 있나요?",그들은 부엌에 있나요?,are they,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,70.0
19,380143002,"Are they playing?
그들은 놀고 있나요?",그들은 놀고 있나요?,are they,,0.0,100.0,0.0,100.0,,100.0,0.0,0.0,100.0,50.0
20,550432000,"Could a cactus grow in this climate?
선인장이 이 기후에서 자랄 수 있을까요?",선인장이 이 기후에서 자랄 수 있을까요?,could,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,87.5
21,404437001,"Could the bear be tame?
곰이 길들일 수 있을까요?",곰이 길들일 수 있을까요?,could,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,87.5
22,460927006,"Could this animal be someone's pet?
이 동물이 누군가의 애완동물이 될 수 있을까요?",이 동물이 누군가의 애완동물이 될 수 있을까요?,could,,0.0,0.0,0.0,0.0,,0.0,0.0,100.0,0.0,12.5
23,458702007,"Could there be a vending machine?
자판기가 있을까요?",자판기가 있을까요?,could,,100.0,100.0,100.0,100.0,,100.0,0.0,100.0,100.0,87.5
24,51576002,"Could that be a waterhole?
물웅덩이가 될 수 있나요?",물웅덩이가 될 수 있나요?,could,33.33333333,100.0,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,0.0,100.0,0.0,40.0
25,117725018,"Do you see a bell?
종이 보이나요?",종이 보이나요?,do you,,100.0,100.0,100.0,100.0,,100.0,0.0,100.0,0.0,75.0
26,212759008,"Do you see any grass?
잔디가 보이나요?",잔디가 보이나요?,do you,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
27,321217002,"Do you see the sea?
바다가 보이나요?",바다가 보이나요?,do you,,100.0,100.0,100.0,100.0,,100.0,0.0,100.0,0.0,75.0
28,280238001,"Do you see a street light?
가로등 보이시나요?",가로등 보이시나요?,do you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0
29,244019002,"Has the wall been tagged?
벽에 태그가 붙었나요?",벽에 태그가 붙었나요?,has,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,50.0
30,355272014,"Has this boy been injured recently?
이 소년이 최근에 다쳤나요?",이 소년이 최근에 다쳤나요?,has,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,60.0
31,318998002,"Is he standing in another boat?
그는 다른 배에 서 있나요?",그는 다른 배에 서 있나요?,is he,,100.0,0.0,100.0,100.0,,100.0,100.0,100.0,100.0,87.5
32,336341002,"Is he wearing blush?
그는 얼굴을 붉히고 있나요?",그는 얼굴을 붉히고 있나요?,is he,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,87.5
33,196516003,"Is he flipping the board?
그가 보드를 뒤집고 있나요?",그가 보드를 뒤집고 있나요?,is he,,33.33333333,33.33333333,33.33333333,33.33333333,,100.0,33.33333333,33.33333333,100.0,50.0
34,486576004,"Is that a man or woman looking at the screen?
화면을 보고 있는 사람이 남자인가요, 여자인가요?","화면을 보고 있는 사람이 남자인가요, 여자인가요?",is that a,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,60.0
35,133515009,"Is that a finished kitchen?
완성된 주방인가요?",완성된 주방인가요?,is that a,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,30.0
36,415880001,"Is that a new car?
새 차인가요?",새 차인가요?,is that a,,100.0,100.0,100.0,100.0,,100.0,0.0,100.0,0.0,75.0
37,19109001,"Is that a restaurant?
식당인가요?",식당인가요?,is that a,100.0,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,100.0,33.33333333,100.0,53.33333333
