image_id,question_id,question_type,question,answers_x,multiple_choice_answer,answer_type,pid_x,output_x,processed_ans_x,answer_similarity_model,correct_model,filename_x,model,trained_dataset_x,strategy_x,blind_x,condition,meta_model_x,model_raw_x,family_x,model_size_x,finetuned,model_type_x,confidence,correct_human,answer_similarity_human,MG,human_correct,model_correct,cc_quadrant,answers_y,pid_y,output_y,processed_ans_y,answer_similarity,correct,filename_y,trained_dataset_y,strategy_y,blind_y,meta_model_y,model_raw_y,family_y,model_size_y,model_type_y
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/InternVL3_5-1B_vqa_1k_inst_blind.jsonl,InternVL 3.5 (1B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,InternVL3_5-1B,InternVL,1,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/InternVL3_5-1B_vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,InternVL3_5-1B,InternVL,1,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,No,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/llava-v1.6-vicuna-7b-hf/vqa_1k_inst_blind.jsonl,LLaVA‑Vicuna (7B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,llava-v1.6-vicuna-7b-hf,LLaVA,7,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,No,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/llava-v1.6-vicuna-7b-hf/vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,llava-v1.6-vicuna-7b-hf,LLaVA,7,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,No.,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/InternVL3_5-4B_vqa_1k_inst_blind.jsonl,InternVL 3.5 (4B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,InternVL3_5-4B,InternVL,4,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,No.,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/InternVL3_5-4B_vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,InternVL3_5-4B,InternVL,4,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/Qwen3-VL-2B-Instruct_vqa_1k_inst_blind.jsonl,Qwen3‑VL (2B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,Qwen3-VL-2B-Instruct,Qwen,2,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/Qwen3-VL-2B-Instruct_vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,Qwen3-VL-2B-Instruct,Qwen,2,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/Qwen3-VL-4B-Instruct_vqa_1k_inst_blind.jsonl,Qwen3‑VL (4B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,Qwen3-VL-4B-Instruct,Qwen,4,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/Qwen3-VL-4B-Instruct_vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,Qwen3-VL-4B-Instruct,Qwen,4,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/Qwen3-VL-8B-Instruct_vqa_1k_inst_blind.jsonl,Qwen3‑VL (8B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,Qwen3-VL-8B-Instruct,Qwen,8,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/Qwen3-VL-8B-Instruct_vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,Qwen3-VL-8B-Instruct,Qwen,8,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,No,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/llava-1.5-7b-hf/vqa_1k_inst_blind.jsonl,LLaVA‑1.5 (7B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,llava-1.5-7b-hf,LLaVA,7,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,No,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/llava-1.5-7b-hf/vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,llava-1.5-7b-hf,LLaVA,7,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,No,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/llava-v1.6-mistral-7b-hf_vqa_1k_inst_blind.jsonl,LLaVA‑Mistral (7B),Pretrained,Pretrained,Pretrained,inst blind,open-source model,llava-v1.6-mistral-7b-hf,LLaVA,7,Pretrained,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,No,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/pretrained/llava-v1.6-mistral-7b-hf_vqa_1k_inst_blind.jsonl,Pretrained,Pretrained,Pretrained,open-source model,llava-v1.6-mistral-7b-hf,LLaVA,7,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/finetuned/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0/vqa_1k_inst_blind.jsonl,InternVL 3.5 (8B),VQA,JS,Blind,inst blind,open-source model,InternVL3_5-8B_A1_vqa_gt,InternVL,8,JS VQA (GT),vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/finetuned/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0/vqa_1k_inst_blind.jsonl,VQA,JS,Blind,open-source model,InternVL3_5-8B_A1_vqa_gt,InternVL,8,vlm
COCO_val2014_000000011241.jpg,11241003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this enough food for more than two people? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/finetuned/llava-v1.6-mistral-7b-hf/llava-v1.6-mistral-7b-hf_SFT_vqa_gtfold_0/vqa_1k_inst_blind.jsonl,LLaVA‑Mistral (7B),VQA,SFT,Blind,inst blind,open-source model,llava-v1.6-mistral-7b-hf_SFT_vqa_gt,LLaVA,7,SFT-VQA,vlm,0.6875,80.0,0.876802571117878,100.0,1,0,Human-Only,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",5,no,no,73.4,0.0,/home/work/yuna/HPA/evaluation/scored/finetuned/llava-v1.6-mistral-7b-hf/llava-v1.6-mistral-7b-hf_SFT_vqa_gtfold_0/vqa_1k_inst_blind.jsonl,VQA,SFT,Blind,open-source model,llava-v1.6-mistral-7b-hf_SFT_vqa_gt,LLaVA,7,vlm
