,core_attributes,spurious_attributes,spurious_correlation_type,question,choices,answer,image,answer_type,qid
0,"['small size', 'detailed features', 'solid structure']","['orange color', 'fabric background', 'patterned fabric', 'bright colors']","['Background', 'Colorization']",Which feature best indicates the identity of the orange object on the fabric?,"['A. The patterned fabric', 'B. The fabric background', ""C. The object's detailed features"", 'D. The orange color']",C,000456.png,choice,s456
1,"['charging prongs', 'rectangular body', 'charging port']","['small size', 'rectangular shape', 'on countertop', 'near blue object']","['Relative Size', 'Shape']",Which feature best indicates the identity of the small rectangular object on the countertop?,"['A. The blue object nearby', ""B. The object's charging prongs"", ""C. The object's small size"", 'D. The countertop pattern']",B,000102.png,choice,s102
2,"['strap', 'buckle', 'held in hand']","['tiled wall', 'toilet', 'bathroom setting', 'held orientation']","['Background', 'Orientation']",Which feature best indicates the identity of the object held in hand?,"['A. The toilet', 'B. The tiled wall', 'C. The bathroom setting', ""D. The object's strap""]",D,001126.png,choice,s1126
3,"['handles', 'large size', 'fabric material']","['shiny texture', 'carpet pattern', 'reflective surface', 'colorful background']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the shiny object on the carpet?,"['A. The colorful background', 'B. The carpet pattern', 'C. The handles', 'D. The shiny texture']",C,001003.png,choice,s1003
4,"['porous texture', 'dual-colored surface', 'flexible structure']","['bathroom items', 'grooming products', 'countertop', 'hand holding']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object being held on the countertop?,"['A. The grooming products', 'B. The hand holding', 'C. The countertop', 'D. The porous texture']",D,000914.png,choice,s914
5,"['metal blades', 'plastic handle', 'razor head']","['blue handle', 'soap residue', 'close-up view', 'white background']","['Colorization', 'Perspective and Angle']",Which feature best indicates the identity of the object with a blue handle?,"['A. The presence of soap residue', 'B. The metal blades', 'C. The object is white', 'D. The close-up view']",B,000571.png,choice,s571
6,"['rectangular shape', 'yellow color', 'textured surface']","['cleaning items', 'washing machine', 'detergents']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object being held near cleaning items?,"['A. The cleaning spray bottle', 'B. The detergents', 'C. The washing machine', ""D. The object's yellow color""]",D,000419.png,choice,s419
7,"['long ears', 'short legs', 'dense coat']","['human figure', 'outdoor scene', 'tree', 'gun']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the animal next to the human figure?,"['A. The tree', ""B. The animal's long ears"", 'C. The human figure', 'D. The outdoor scene']",B,002233.png,choice,s2233
8,"['wheels', 'colorful design', 'small size', 'toy car shape']","['hand holding', 'floor lighting', 'nearby furniture', 'shadows']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held?,"['A. The hand holding it', 'B. The floor lighting', ""C. The object's wheels"", 'D. Nearby furniture']",C,000356.png,choice,s356
9,"['drawstring', 'elastic waistband', 'short length', 'loose fit']","['crumpled', 'fabric texture', 'on carpet', 'folded']","['Texture and Noise', 'Background']",Which feature best indicates the identity of the crumpled fabric on the carpet?,"['A. The drawstring', 'B. The carpet', 'C. The fabric texture', 'D. The crumpled appearance']",A,001728.png,choice,s1728
