,question_id,category,l2_category,question,answer,correct,question_en,options,answer_type
1101,295.0,fine-grained perception,object counting,"How many people are standing on the stage in the image?
 Options: A: One, B: More than three, C: Three, D: Two",D,0.0833333333333333,"How many people are standing on the stage in the image?
 "," A: One, B: More than three, C: Three, D: Two",choice
1229,493.0,instance reasoning,cross-instance attribute reasoning,"What is the relative position of the man and woman in the image?
 Options: A: They are facing each other, B: They are both facing forward, C: They are both facing the camera, D: They are both looking away from the camera",D,0.0,"What is the relative position of the man and woman in the image?
 "," A: They are facing each other, B: They are both facing forward, C: They are both facing the camera, D: They are both looking away from the camera",choice
1037,819.0,logical reasoning,diagram reasoning,"<image 1> is the HRM Roles, David Ulrich (1997) model. According to Ulrich, if HR is to become and remain relevant in the current business environment, what is not something HR professionals must learn?
 Options: A: Manage human resources operations and infrastructure, B: Become the link between human resources and organizational strategy, C: Optimize the value of employees, D: Be a change agent with a long-term vision for the organization",C,0.0909090909090909,"<image 1> is the HRM Roles, David Ulrich (1997) model. According to Ulrich, if HR is to become and remain relevant in the current business environment, what is not something HR professionals must learn?
 "," A: Manage human resources operations and infrastructure, B: Become the link between human resources and organizational strategy, C: Optimize the value of employees, D: Be a change agent with a long-term vision for the organization",choice
593,919.0,logical reasoning,diagram reasoning,"Which month has the lowest average precipitation in London?
 Options: A: July, B: February, C: November, D: nan",A,0.2,"Which month has the lowest average precipitation in London?
 "," A: July, B: February, C: November, D: nan",choice
1283,609.0,instance reasoning,single-instance reasoning,"What is the dominant material of the cabinets in the image?
 Options: A: Ceramic, B: Metal, C: Wood, D: Glass",A,0.0,"What is the dominant material of the cabinets in the image?
 "," A: Ceramic, B: Metal, C: Wood, D: Glass",choice
9,569.0,instance reasoning,cross-instance relation reasoning,"Which property do these three objects have in common?
 Options: A: blue, B: smooth, C: flexible, D: nan",B,0.727272727272727,"Which property do these three objects have in common?
 "," A: blue, B: smooth, C: flexible, D: nan",choice
877,1247.0,science & technology,biology & chemistry & physics,"What is H in the diagram?
 Options: A: pith, B: protoxylem, C: cambium, D: metaxylem",A,0.1,"What is H in the diagram?
 "," A: pith, B: protoxylem, C: cambium, D: metaxylem",choice
1269,660.0,instance reasoning,single-instance reasoning,"Where is the man playing the guitar located on the stage?
 Options: A: Left side of the stage, B: Middle of the stage, C: Right side of the stage, D: Behind the microphones",D,0.0,"Where is the man playing the guitar located on the stage?
 "," A: Left side of the stage, B: Middle of the stage, C: Right side of the stage, D: Behind the microphones",choice
1102,168.0,coarse perception,image style & quality,"Which category does this image belong to?
 Options: A: MRI image, B: icon, C: microscopic image, D: abstract painting",A,0.0833333333333333,"Which category does this image belong to?
 "," A: MRI image, B: icon, C: microscopic image, D: abstract painting",choice
210,1411.0,science & technology,geography & earth science & agriculture,"Which label indicates the earth's gravitational pull on the moon?
 Options: A: D, B: A, C: B, D: E",A,0.4,"Which label indicates the earth's gravitational pull on the moon?
 "," A: D, B: A, C: B, D: E",choice
1271,669.0,instance reasoning,single-instance reasoning,"Which is right?
 Options: A: The orange is next to the apple, B: The apple is on the left, C: The orange is on the right, D: All above are not right",A,0.0,"Which is right?
 "," A: The orange is next to the apple, B: The apple is on the left, C: The orange is on the right, D: All above are not right",choice
402,1214.0,science & technology,biology & chemistry & physics,"Leaf B is of which plant?
 Options: A: Celtis, B: Stem, C: Ulmus, D: Lotus",A,0.3,"Leaf B is of which plant?
 "," A: Celtis, B: Stem, C: Ulmus, D: Lotus",choice
885,1215.0,science & technology,biology & chemistry & physics,"Letter A in the following diagram represents which stage?
 Options: A: attached planula, B: polyp, C: ephyra, D: planula",C,0.1,"Letter A in the following diagram represents which stage?
 "," A: attached planula, B: polyp, C: ephyra, D: planula",choice
534,248.0,fine-grained perception,object counting,"How many archways are there in the image?
 Options: A: One, B: Four, C: Three, D: Two",D,0.25,"How many archways are there in the image?
 "," A: One, B: Four, C: Three, D: Two",choice
518,395.0,fine-grained perception,recognition,"What is the color of the socks detected in the attribute detection of the image?
 Options: A: Black, B: Red, C: White, D: Striped",C,0.25,"What is the color of the socks detected in the attribute detection of the image?
 "," A: Black, B: Red, C: White, D: Striped",choice
636,882.0,logical reasoning,diagram reasoning,"In the diagram shown, which organism consumes small fish as food?
 Options: A: mahi mahi, B: large shark, C: zooplankton, D: mackerel",D,0.2,"In the diagram shown, which organism consumes small fish as food?
 "," A: mahi mahi, B: large shark, C: zooplankton, D: mackerel",choice
