,model,category,l2_category,question_id,,blind,inst blind,Acc_Visual,Acc_Blind_inst,MG_Acc,Delta_Inst
0,InternVL3.5‑1B,coarse perception,image emotion,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,InternVL3.5‑1B,coarse perception,image emotion,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,InternVL3.5‑1B,coarse perception,image emotion,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,InternVL3.5‑1B,coarse perception,image emotion,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,InternVL3.5‑1B,coarse perception,image emotion,23,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
5,InternVL3.5‑1B,coarse perception,image emotion,53,100.0,100.0,100.0,100.0,100.0,0.0,0.0
6,InternVL3.5‑1B,coarse perception,image emotion,61,100.0,0.0,0.0,100.0,0.0,100.0,0.0
7,InternVL3.5‑1B,coarse perception,image emotion,68,100.0,0.0,0.0,100.0,0.0,100.0,0.0
8,InternVL3.5‑1B,coarse perception,image emotion,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,InternVL3.5‑1B,coarse perception,image emotion,97,100.0,0.0,0.0,100.0,0.0,100.0,0.0
10,InternVL3.5‑1B,coarse perception,image emotion,133,100.0,0.0,0.0,100.0,0.0,100.0,0.0
11,InternVL3.5‑1B,coarse perception,image emotion,138,100.0,0.0,0.0,100.0,0.0,100.0,0.0
12,InternVL3.5‑1B,coarse perception,image emotion,139,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
13,InternVL3.5‑1B,coarse perception,image emotion,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,InternVL3.5‑1B,coarse perception,image emotion,164,100.0,100.0,0.0,100.0,0.0,100.0,100.0
15,InternVL3.5‑1B,coarse perception,image emotion,174,100.0,100.0,100.0,100.0,100.0,0.0,0.0
16,InternVL3.5‑1B,coarse perception,image emotion,181,100.0,100.0,100.0,100.0,100.0,0.0,0.0
17,InternVL3.5‑1B,coarse perception,image emotion,182,100.0,100.0,100.0,100.0,100.0,0.0,0.0
18,InternVL3.5‑1B,coarse perception,image emotion,187,100.0,100.0,0.0,100.0,0.0,100.0,100.0
19,InternVL3.5‑1B,coarse perception,image emotion,188,100.0,100.0,0.0,100.0,0.0,100.0,100.0
20,InternVL3.5‑1B,coarse perception,image emotion,189,100.0,100.0,100.0,100.0,100.0,0.0,0.0
21,InternVL3.5‑1B,coarse perception,image emotion,196,100.0,100.0,0.0,100.0,0.0,100.0,100.0
22,InternVL3.5‑1B,coarse perception,image emotion,202,100.0,100.0,100.0,100.0,100.0,0.0,0.0
23,InternVL3.5‑1B,coarse perception,image emotion,206,100.0,100.0,100.0,100.0,100.0,0.0,0.0
24,InternVL3.5‑1B,coarse perception,image emotion,212,100.0,100.0,0.0,100.0,0.0,100.0,100.0
25,InternVL3.5‑1B,coarse perception,image emotion,220,100.0,0.0,0.0,100.0,0.0,100.0,0.0
26,InternVL3.5‑1B,coarse perception,image emotion,221,100.0,0.0,0.0,100.0,0.0,100.0,0.0
27,InternVL3.5‑1B,coarse perception,image emotion,223,100.0,0.0,0.0,100.0,0.0,100.0,0.0
28,InternVL3.5‑1B,coarse perception,image emotion,226,100.0,0.0,0.0,100.0,0.0,100.0,0.0
29,InternVL3.5‑1B,coarse perception,image emotion,248,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
30,InternVL3.5‑1B,coarse perception,image emotion,249,100.0,100.0,100.0,100.0,100.0,0.0,0.0
31,InternVL3.5‑1B,coarse perception,image scene and topic,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,InternVL3.5‑1B,coarse perception,image scene and topic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,InternVL3.5‑1B,coarse perception,image scene and topic,2,100.0,0.0,0.0,100.0,0.0,100.0,0.0
34,InternVL3.5‑1B,coarse perception,image scene and topic,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,InternVL3.5‑1B,coarse perception,image scene and topic,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
