,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
7021,601,289870005,yes,0.75,3.58,2025-11-24T14:21:06.339987,0756a860_20251124_133827,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7029,601,289870005,yes,1.0,3.12,2025-12-05T23:55:53.767997,3a36e078_20251205_225238,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7028,601,289870005,Yes,0.25,2.19,2025-11-26T15:50:20.101666,3238ebaf_20251126_140604,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,,Yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7027,601,289870005,yes,1.0,1.55,2025-11-26T09:24:09.372282,218b2db5_20251126_084136,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7042,601,289870005,yes,0.25,3.27,2025-12-05T16:07:42.750157,2e184452_20251205_141511_cleaned,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7040,601,289870005,yes,0.75,2.54,2025-12-03T22:38:36.476946,f616d5c7_20251203_212223,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7041,601,289870005,Yes,0.75,2.04,2025-11-25T21:20:51.547315,d1548553_20251125_202324,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,그렇다,Yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7030,601,289870005,yes,0.75,3.3,2025-11-27T15:16:37.154182,5d843d39_20251127_141921,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7039,601,289870005,yes,1.0,3.07,2025-11-28T23:24:08.405100,dd0f9986_20251128_222537,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
7035,601,289870005,yes,0.5,5.56,2025-12-09T17:37:35.957485,9c5d09f3_20251209_121033,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
