question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
432,430774001,6,0.75,2.81,2025-11-24T14:07:56.324658,0756a860_20251124_133827,What time is shown on the clock?,number,,6,6,0.0,0.32349647879600524,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,6
432,430774001,6 o'clock,0.75,4.21,2025-12-10T23:42:21.543006,02f952bb_20251210_230336,What time is shown on the clock?,number,6시,6 o'clock,6 oclock,0.0,0.3734853625297546,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,6
432,430774001,5 o'clock,1.0,3.22,2025-12-08T16:19:57.472583,14d2420f_20251208_150302,What time is shown on the clock?,number,5시,5 o'clock,5 oclock,0.0,0.37492257356643677,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,5
432,430774001,8 o'clock,0.75,3.4,2025-12-02T10:52:41.094133,29127478_20251202_100107,What time is shown on the clock?,number,8시,8 o'clock,8 oclock,0.0,0.39944775104522706,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,8
432,430774001,3 o'clock,0.75,2.98,2025-11-26T09:14:35.426892,218b2db5_20251126_084136,What time is shown on the clock?,number,3시,3 o'clock,3 oclock,0.0,0.3564217835664749,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,3
432,430774001,2pm,0.25,3.23,2025-11-26T15:28:23.349697,3238ebaf_20251126_140604,What time is shown on the clock?,number,,2pm,2pm,0.0,0.6689716517925263,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,2
432,430774001,11 o'clock,0.5,5.08,2025-12-05T23:41:58.366284,3a36e078_20251205_225238,What time is shown on the clock?,number,11시,11 o'clock,11 oclock,0.0,0.4980581820011139,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,11
432,430774001,3 o'clock,0.5,3.1,2025-11-27T15:00:09.722645,5d843d39_20251127_141921,What time is shown on the clock?,number,3시,3 o'clock,3 oclock,0.0,0.3564217835664749,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,3
432,430774001,1 o'clock,0.25,5.54,2025-12-11T01:00:48.033330,60de6bd6_20251210_170035,What time is shown on the clock?,number,1시,1 o'clock,1 oclock,0.0,0.3506095543503761,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,1
432,430774001,3 o'clock,0.05,3.84,2025-11-25T14:53:01.034754,6b3a1a8d_20251125_135446,What time is shown on the clock?,number,3시,3 o'clock,3 oclock,0.0,0.3564217835664749,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,3
432,430774001,It's 12 o'clock,0.25,9.78,2025-12-04T22:01:48.963832,73df43f3_20251204_210431,What time is shown on the clock?,number,12시,It's 12 o'clock,its 12 oclock,0.0,0.5288808673620224,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,12
432,430774001,3 o'clock,0.5,6.31,2025-12-13T14:38:48.014639,74d408e5_20251213_134035,What time is shown on the clock?,number,3시,3 o'clock,3 oclock,0.0,0.3564217835664749,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,3
432,430774001,12,0.5,4.05,2025-12-09T17:20:24.818243,9c5d09f3_20251209_121033,What time is shown on the clock?,number,,12,12,0.0,0.5353604942560196,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,12
432,430774001,2pm,0.75,3.75,2025-12-10T19:57:10.946826,825ff3e9_20251210_192335,What time is shown on the clock?,number,,2pm,2pm,0.0,0.6689716517925263,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,2
432,430774001,12:35 PM,1.0,5.46,2025-12-12T00:35:47.657009,a5909497_20251211_232822,What time is shown on the clock?,number,12시 35분,12:35 PM,1235 pm,0.0,0.41153821647167205,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,1235
432,430774001,8 o'clock,0.25,4.75,2025-11-27T20:16:10.028130,b9b2cb98_20251127_193952,What time is shown on the clock?,number,8시,8 o'clock,8 oclock,0.0,0.39944775104522706,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,8
432,430774001,It's 12 o'clock,1.0,3.88,2025-11-28T23:08:26.428797,dd0f9986_20251128_222537,What time is shown on the clock?,number,12시,It's 12 o'clock,its 12 oclock,0.0,0.5288808673620224,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,12
432,430774001,10 o'clock,0.75,5.83,2025-12-03T22:24:00.245365,f616d5c7_20251203_212223,What time is shown on the clock?,number,10시,10 o'clock,10 oclock,0.0,0.42862782180309295,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,10
432,430774001,10 PM,0.05,5.85,2025-11-25T21:09:01.339135,d1548553_20251125_202324,What time is shown on the clock?,number,22시,10 PM,10 pm,0.0,0.6161432385444641,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,10
432,430774001,It's 12 o'clock,0.5,3.86,2025-12-05T15:50:04.532079,2e184452_20251205_141511_cleaned,What time is shown on the clock?,number,12시,It's 12 o'clock,its 12 oclock,0.0,0.5288808673620224,"[""12 o'clock"", '12:00', '12:30', 'noon', '12:00', '12:00', '12:00', 'noon', '12:00', 'noon']",12:00,Humans,humans,inst blind,what time,Attribute/Object,12
