,Unnamed: 0,qid,category,l2_category,question_en,options,answer_type,question_kr
0,0,368,fine-grained perception,recognition,What color is the text in the image? ,"A: White 흰색, B: Blue 파란색, C: Black 검은색, D: Grey 회색",choice,이미지의 텍스트 색상은 무엇입니까?
1,1,1279,science & technology,biology & chemistry & physics,Where is the testa? ,"A: A 에이, B: C 씨, C: D 디, D: B 비",choice,testa는 어디에 있나요?
2,2,600,instance reasoning,single-instance reasoning,The object shown in this figure: ,"A: Is a colorless, flammable liquid that is commonly used as a solvent and fuel, B: Has a boiling point of 64.7°C, C: Can be toxic if ingested or absorbed through the skin, D: None of these options are correct. A: 용매 및 연료로 일반적으로 사용되는 무색의 인화성 액체이다, B: 끓는점이 64.7°C이다, C: 경구로 섭취하거나 피부를 통한 흡수로 독성이 있을 수 있다, D: 이들 옵션 중 어느 것도 옳지 않다.",choice,이 그림에 보이는 물체는:
3,3,333,fine-grained perception,recognition,"According to this picture, how old are Dennis. ","A: 38, B: 45, C: 29, D: 47 A: 38, B: 45, C: 29, D: 47",choice,이 그림에서 Dennis의 나이는 몇 살입니까?
4,4,589,instance reasoning,single-instance reasoning,"If the liquid in the picture contains only one solute, what is it most likely to contain? ","A: Ferric hydroxide. 철(III) 수산화물, B: Sodium hydroxide. 수산화나트륨, C: Sodium chloride. 염화나트륨, D: Copper sulfate. 황산구리(II)",choice,그 그림 속 액체에 단 하나의 ...가 포함되어 있다면
5,5,306,fine-grained perception,object counting,How many pillows are on the bed closest to the window? ,"A: 0, B: 1, C: 3, D: 2 A: 0개, B: 1개, C: 3개, D: 2개",choice,가장 가까운 침대에 있는 베개는 몇 개인가요?
6,6,359,fine-grained perception,recognition,What color is the horse in the image? ," A: Black 검은색, B: Brown 갈색, C: Grey 회색, D: White 흰색",choice,이미지 속의 말은 무슨 색인가요?
7,7,1255,science & technology,biology & chemistry & physics,What is represented directly under the aorta? ,"A: femoral artery 대퇴동맥, B: none of the above 위의 어느 것도 아니다, C: renal vein 신정맥, D: heart 심장",choice,대동맥 바로 아래에 무엇이 표시되어 있나요?
8,8,1346,science & technology,electronics & energy & mechanical eng.,How many arcs connect at node 12 in Figure 3.10? <image 1> ,"A: 3 (해석: 3), B: Other Answers (해석: 다른 답변들), C: nan (해석: 값 없음), D: nan (해석: 값 없음)",choice,도 3.1의 정점 12에서 몇 개의 호가 연결되어 있습니까?
9,9,1281,science & technology,biology & chemistry & physics,Which area represents a bud? ,"A: G, B: C, C: D, D: F A: G, B: C, C: D, D: F",choice,어떤 부위가 싹을 나타내나요?
