index	question	image	answer	category	l2_category	meta_info	image_path	A	B	C	D
1	Which option describe the object relationship in the image correctly?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F9030>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/0.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
2	What is the main feature in the background of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x339 at 0x7109C46FA500>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/1.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
3	What seems to be the theme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x346 at 0x7109C46FAE90>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/2.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
4	What is the most prominent feature in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46F8CA0>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/3.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
5	What is the center of focus in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x415 at 0x7109C46FBF70>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/4.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
6	What is the main subject of the flyer seen in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x512 at 0x7109C46FB3D0>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/5.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
7	What is the overall theme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=343x512 at 0x7109C46F90C0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/6.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
8	What is the primary subject in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x512 at 0x7109C46FA7D0>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/7.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
9	What is the overall theme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=342x512 at 0x7109C46F9B40>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/8.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
10	What feeling is represented in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x418 at 0x7109C46F9030>	D	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/9.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
11	What time of day is it in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46FA500>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/10.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
12	What is the dominant feature in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46FAE90>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/11.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
13	What is the main focus of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F8CA0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/12.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
14	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7109C46FBF70>	B	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/13.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
15	What is the main subject of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FB3D0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/14.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
16	What object dominates the image in the foreground?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F90C0>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/15.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
17	What feeling is shown in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=231x218 at 0x7109C46FA7D0>	A	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/16.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
18	What is the overall theme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x512 at 0x7109C46F9B40>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/17.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
