,image_id,qid,question_type,question_en,answers,multiple_choice_answer,answer_type,question_kr,Unnamed: 0.2,category,l2_category,options,Unnamed: 0.1,Unnamed: 0,index
305,COCO_val2014_000000023954.jpg,23954002,how many,"Question: How many different types of animals are pictured? Answer the question using a single word or phrase. 
Answer:","[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",2,text,질문: 그림에 몇 가지 서로 다른 종류의 동물이 보이나요? 한 단어나 구로 답하십시오.,,,,,,,
212,COCO_val2014_000000422157.jpg,422157006,is the,"Question: Is the bus going to turn left or right? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'right', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'right', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'right', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'right', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'right', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'right', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'right', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'right', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'straight', 'answer_confidence': 'maybe', 'answer_id': 10}]",right,text,질문: 버스가 좌회전할까요 아니면 우회전할까요? 한 단어나 구절로 답하십시오. 답:,,,,,,,
47,COCO_val2014_000000135275.jpg,135275001,what,"Question: What does yellow of the road mean? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'fire lane', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'middle', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'no parking', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'caution', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'slow', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'caution', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'median', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'caution', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'curb', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'caution', 'answer_confidence': 'yes', 'answer_id': 10}]",caution,text,질문: 도로의 노란색은 무슨 뜻인가요? 한 단어나 구절로 답하십시오.,,,,,,,
868,COCO_val2014_000000025005.jpg,25005002,what is the man,"Question: What is the man standing on? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'skis', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'skis', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'skis', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'snow', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'skis', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'skis', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'snow', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'skis', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'skis', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'skis', 'answer_confidence': 'yes', 'answer_id': 10}]",skis,text,질문: 남자는 무엇 위에 서 있나요? 한 단어나 구절로 대답하십시오. 답:,,,,,,,
350,COCO_val2014_000000268215.jpg,268215000,what,"Question: What vegetable is lining the dish? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'green beans', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'green beans', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'rice, beans', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'beans and carrots', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'beans and carrots', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'green beans and carrots', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'beans', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'beans', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'rice', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'carrots and green beans', 'answer_confidence': 'yes', 'answer_id': 10}]",beans and carrots,text,질문: 접시에 둘러싸고 있는 채소는 무엇입니까? 한 단어나 구절로 질문에 답하십시오. 답:,,,,,,,
784,COCO_val2014_000000008498.jpg,8498007,how many,"Question: How many clocks? Answer the question using a single word or phrase. 
Answer:","[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 10}]",2,text,질문: 시계가 몇 대입니까? 한 단어나 구로 답하십시오.,,,,,,,
587,COCO_val2014_000000382850.jpg,382850000,what color is the,"Question: What color is the boat? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 10}]",blue,text,질문: 배의 색은 무엇입니까? 한 단어나 구로 질문에 답하십시오. 답변:,,,,,,,
442,COCO_val2014_000000418275.jpg,418275003,is the,"Question: Is the bottle half full? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",yes,text,질문: 병이 반쯤 차 있나요? 한 단어나 구로 질문에 답하십시오. 답:,,,,,,,
666,COCO_val2014_000000207275.jpg,207275011,what,"Question: What game is he playing? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'nintendo wii', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'wii', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'wii', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'wii', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'wii', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'wi', 'answer_confidence': 'no', 'answer_id': 6}, {'answer': 'wii', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'wii', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'wii', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'wii', 'answer_confidence': 'maybe', 'answer_id': 10}]",wii,text,질문: 그가 어떤 게임을 하고 있나요? 한 단어나 구로 답하십시오. 답:,,,,,,,
621,COCO_val2014_000000147309.jpg,147309005,is this a,"Question: Is this a fancy desert? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,질문: 이것은 멋진 사막인가요? 한 단어나 구절로 질문에 답하십시오. 답:,,,,,,,
