file,model,dataset,condition,accuracy,correct,total,by_category
mmstar.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,mmstar,,0.6746666666666666,1012,1500,"{'coarse perception': {'accuracy': 0.74, 'correct': 185, 'total': 250}, 'fine-grained perception': {'accuracy': 0.588, 'correct': 147, 'total': 250}, 'instance reasoning': {'accuracy': 0.756, 'correct': 189, 'total': 250}, 'logical reasoning': {'accuracy': 0.728, 'correct': 182, 'total': 250}, 'math': {'accuracy': 0.736, 'correct': 184, 'total': 250}, 'science & technology': {'accuracy': 0.5, 'correct': 125, 'total': 250}}"
mmstar_inst_blind.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,mmstar,_inst_blind,0.30466666666666664,457,1500,"{'coarse perception': {'accuracy': 0.28, 'correct': 70, 'total': 250}, 'fine-grained perception': {'accuracy': 0.22, 'correct': 55, 'total': 250}, 'instance reasoning': {'accuracy': 0.256, 'correct': 64, 'total': 250}, 'logical reasoning': {'accuracy': 0.376, 'correct': 94, 'total': 250}, 'math': {'accuracy': 0.488, 'correct': 122, 'total': 250}, 'science & technology': {'accuracy': 0.208, 'correct': 52, 'total': 250}}"
spubench.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,spubench,,0.0,0,2400,"{'Unknown': {'accuracy': 0.0, 'correct': 0, 'total': 2400}}"
spubench_inst_blind.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,spubench,_inst_blind,0.0,0,2400,"{'Unknown': {'accuracy': 0.0, 'correct': 0, 'total': 2400}}"
vqa_1k.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,vqa_1k,,0.762,762,1000,"{'what is the woman': {'accuracy': 0.25, 'correct': 1, 'total': 4}, 'is the man': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what is the': {'accuracy': 0.6346153846153846, 'correct': 33, 'total': 52}, 'is the': {'accuracy': 0.9204545454545454, 'correct': 81, 'total': 88}, 'is this': {'accuracy': 0.9, 'correct': 36, 'total': 40}, 'does this': {'accuracy': 1.0, 'correct': 14, 'total': 14}, 'what is': {'accuracy': 0.5483870967741935, 'correct': 17, 'total': 31}, 'is': {'accuracy': 0.9230769230769231, 'correct': 12, 'total': 13}, 'what': {'accuracy': 0.6190476190476191, 'correct': 52, 'total': 84}, 'none of the above': {'accuracy': 0.8108108108108109, 'correct': 30, 'total': 37}, 'what are': {'accuracy': 0.7, 'correct': 7, 'total': 10}, 'what color is': {'accuracy': 0.875, 'correct': 7, 'total': 8}, 'is the woman': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many': {'accuracy': 0.6941176470588235, 'correct': 59, 'total': 85}, 'what type of': {'accuracy': 0.5789473684210527, 'correct': 11, 'total': 19}, 'what is in the': {'accuracy': 0.7272727272727273, 'correct': 8, 'total': 11}, 'what does the': {'accuracy': 0.5333333333333333, 'correct': 8, 'total': 15}, 'what is this': {'accuracy': 0.7, 'correct': 7, 'total': 10}, 'do': {'accuracy': 0.8333333333333334, 'correct': 10, 'total': 12}, 'is this a': {'accuracy': 0.9512195121951219, 'correct': 39, 'total': 41}, 'is there a': {'accuracy': 0.9523809523809523, 'correct': 20, 'total': 21}, 'is this an': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'what is on the': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'is there': {'accuracy': 1.0, 'correct': 13, 'total': 13}, 'where is the': {'accuracy': 0.4, 'correct': 6, 'total': 15}, 'why': {'accuracy': 0.2857142857142857, 'correct': 2, 'total': 7}, 'what is the name': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'who is': {'accuracy': 0.5, 'correct': 3, 'total': 6}, 'are they': {'accuracy': 0.8333333333333334, 'correct': 5, 'total': 6}, 'what kind of': {'accuracy': 0.7083333333333334, 'correct': 17, 'total': 24}, 'does the': {'accuracy': 0.9285714285714286, 'correct': 13, 'total': 14}, 'what color is the': {'accuracy': 0.847457627118644, 'correct': 50, 'total': 59}, 'what color are the': {'accuracy': 0.7272727272727273, 'correct': 8, 'total': 11}, 'what is the person': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'which': {'accuracy': 0.5714285714285714, 'correct': 8, 'total': 14}, 'what color': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'are the': {'accuracy': 0.7142857142857143, 'correct': 15, 'total': 21}, 'what is the man': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'why is the': {'accuracy': 0.4, 'correct': 2, 'total': 5}, 'what are the': {'accuracy': 0.46153846153846156, 'correct': 6, 'total': 13}, 'what is the color of the': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'are these': {'accuracy': 1.0, 'correct': 11, 'total': 11}, 'where are the': {'accuracy': 0.42857142857142855, 'correct': 3, 'total': 7}, 'could': {'accuracy': 1.0, 'correct': 7, 'total': 7}, 'is it': {'accuracy': 1.0, 'correct': 15, 'total': 15}, 'how': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'can you': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'how many people are': {'accuracy': 0.7142857142857143, 'correct': 5, 'total': 7}, 'what animal is': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'has': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are': {'accuracy': 1.0, 'correct': 12, 'total': 12}, 'is that a': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'was': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are there': {'accuracy': 1.0, 'correct': 10, 'total': 10}, 'do you': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'what number is': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'what sport is': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'is he': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many people are in': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'are there any': {'accuracy': 0.8888888888888888, 'correct': 8, 'total': 9}, 'what time': {'accuracy': 0.3333333333333333, 'correct': 1, 'total': 3}, 'what room is': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
vqa_1k_inst_blind.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,vqa_1k,_inst_blind,0.369,369,1000,"{'what is the woman': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'is the man': {'accuracy': 0.7777777777777778, 'correct': 7, 'total': 9}, 'what is the': {'accuracy': 0.15384615384615385, 'correct': 8, 'total': 52}, 'is the': {'accuracy': 0.6363636363636364, 'correct': 56, 'total': 88}, 'is this': {'accuracy': 0.625, 'correct': 25, 'total': 40}, 'does this': {'accuracy': 0.7142857142857143, 'correct': 10, 'total': 14}, 'what is': {'accuracy': 0.06451612903225806, 'correct': 2, 'total': 31}, 'is': {'accuracy': 0.6153846153846154, 'correct': 8, 'total': 13}, 'what': {'accuracy': 0.21428571428571427, 'correct': 18, 'total': 84}, 'none of the above': {'accuracy': 0.43243243243243246, 'correct': 16, 'total': 37}, 'what are': {'accuracy': 0.1, 'correct': 1, 'total': 10}, 'what color is': {'accuracy': 0.25, 'correct': 2, 'total': 8}, 'is the woman': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many': {'accuracy': 0.36470588235294116, 'correct': 31, 'total': 85}, 'what type of': {'accuracy': 0.3157894736842105, 'correct': 6, 'total': 19}, 'what is in the': {'accuracy': 0.18181818181818182, 'correct': 2, 'total': 11}, 'what does the': {'accuracy': 0.0, 'correct': 0, 'total': 15}, 'what is this': {'accuracy': 0.0, 'correct': 0, 'total': 10}, 'do': {'accuracy': 0.75, 'correct': 9, 'total': 12}, 'is this a': {'accuracy': 0.43902439024390244, 'correct': 18, 'total': 41}, 'is there a': {'accuracy': 0.6190476190476191, 'correct': 13, 'total': 21}, 'is this an': {'accuracy': 0.4, 'correct': 2, 'total': 5}, 'what is on the': {'accuracy': 0.23076923076923078, 'correct': 3, 'total': 13}, 'is there': {'accuracy': 0.38461538461538464, 'correct': 5, 'total': 13}, 'where is the': {'accuracy': 0.06666666666666667, 'correct': 1, 'total': 15}, 'why': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'what is the name': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'who is': {'accuracy': 0.3333333333333333, 'correct': 2, 'total': 6}, 'are they': {'accuracy': 0.6666666666666666, 'correct': 4, 'total': 6}, 'what kind of': {'accuracy': 0.25, 'correct': 6, 'total': 24}, 'does the': {'accuracy': 0.6428571428571429, 'correct': 9, 'total': 14}, 'what color is the': {'accuracy': 0.23728813559322035, 'correct': 14, 'total': 59}, 'what color are the': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'what is the person': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'which': {'accuracy': 0.35714285714285715, 'correct': 5, 'total': 14}, 'what color': {'accuracy': 0.3333333333333333, 'correct': 4, 'total': 12}, 'are the': {'accuracy': 0.7142857142857143, 'correct': 15, 'total': 21}, 'what is the man': {'accuracy': 0.15384615384615385, 'correct': 2, 'total': 13}, 'why is the': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'what are the': {'accuracy': 0.23076923076923078, 'correct': 3, 'total': 13}, 'what is the color of the': {'accuracy': 0.4, 'correct': 2, 'total': 5}, 'are these': {'accuracy': 0.45454545454545453, 'correct': 5, 'total': 11}, 'where are the': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'could': {'accuracy': 0.5714285714285714, 'correct': 4, 'total': 7}, 'is it': {'accuracy': 0.7333333333333333, 'correct': 11, 'total': 15}, 'how': {'accuracy': 0.0, 'correct': 0, 'total': 8}, 'can you': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'how many people are': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what animal is': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'has': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'are': {'accuracy': 0.6666666666666666, 'correct': 8, 'total': 12}, 'is that a': {'accuracy': 0.25, 'correct': 1, 'total': 4}, 'was': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'are there': {'accuracy': 0.4, 'correct': 4, 'total': 10}, 'do you': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'what sport is': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'is he': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many people are in': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'are there any': {'accuracy': 0.5555555555555556, 'correct': 5, 'total': 9}, 'what time': {'accuracy': 0.3333333333333333, 'correct': 1, 'total': 3}, 'what room is': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'is this person': {'accuracy': 0.0, 'correct': 0, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
vqa_5k.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,vqa_5k,,0.7606,3803,5000,"{'what are': {'accuracy': 0.7027027027027027, 'correct': 26, 'total': 37}, 'what is the': {'accuracy': 0.6472868217054264, 'correct': 167, 'total': 258}, 'is this a': {'accuracy': 0.9289940828402367, 'correct': 157, 'total': 169}, 'is': {'accuracy': 0.9130434782608695, 'correct': 63, 'total': 69}, 'how many': {'accuracy': 0.666, 'correct': 333, 'total': 500}, 'is the': {'accuracy': 0.8827751196172249, 'correct': 369, 'total': 418}, 'does the': {'accuracy': 0.9125, 'correct': 73, 'total': 80}, 'what is': {'accuracy': 0.625, 'correct': 100, 'total': 160}, 'what': {'accuracy': 0.6457142857142857, 'correct': 226, 'total': 350}, 'what color is the': {'accuracy': 0.819935691318328, 'correct': 255, 'total': 311}, 'none of the above': {'accuracy': 0.7171717171717171, 'correct': 142, 'total': 198}, 'are these': {'accuracy': 0.88, 'correct': 66, 'total': 75}, 'what type of': {'accuracy': 0.6039603960396039, 'correct': 61, 'total': 101}, 'what color are the': {'accuracy': 0.8450704225352113, 'correct': 60, 'total': 71}, 'are there': {'accuracy': 0.8732394366197183, 'correct': 62, 'total': 71}, 'what are the': {'accuracy': 0.6764705882352942, 'correct': 46, 'total': 68}, 'can you': {'accuracy': 0.7894736842105263, 'correct': 15, 'total': 19}, 'where are the': {'accuracy': 0.39285714285714285, 'correct': 11, 'total': 28}, 'how': {'accuracy': 0.28846153846153844, 'correct': 15, 'total': 52}, 'what is on the': {'accuracy': 0.6727272727272727, 'correct': 37, 'total': 55}, 'how many people are': {'accuracy': 0.9166666666666666, 'correct': 33, 'total': 36}, 'is there a': {'accuracy': 0.956140350877193, 'correct': 109, 'total': 114}, 'is the man': {'accuracy': 0.9305555555555556, 'correct': 67, 'total': 72}, 'is there': {'accuracy': 0.9743589743589743, 'correct': 76, 'total': 78}, 'are they': {'accuracy': 0.8666666666666667, 'correct': 26, 'total': 30}, 'where is the': {'accuracy': 0.524390243902439, 'correct': 43, 'total': 82}, 'is this': {'accuracy': 0.9368421052631579, 'correct': 178, 'total': 190}, 'who is': {'accuracy': 0.5862068965517241, 'correct': 17, 'total': 29}, 'is he': {'accuracy': 1.0, 'correct': 24, 'total': 24}, 'is that a': {'accuracy': 0.9473684210526315, 'correct': 18, 'total': 19}, 'what animal is': {'accuracy': 0.8125, 'correct': 13, 'total': 16}, 'what kind of': {'accuracy': 0.6115107913669064, 'correct': 85, 'total': 139}, 'what brand': {'accuracy': 0.55, 'correct': 11, 'total': 20}, 'are': {'accuracy': 0.8867924528301887, 'correct': 47, 'total': 53}, 'was': {'accuracy': 0.88, 'correct': 22, 'total': 25}, 'what is the man': {'accuracy': 0.7910447761194029, 'correct': 53, 'total': 67}, 'what color': {'accuracy': 0.675, 'correct': 27, 'total': 40}, 'what is this': {'accuracy': 0.627906976744186, 'correct': 27, 'total': 43}, 'why': {'accuracy': 0.2682926829268293, 'correct': 11, 'total': 41}, 'is it': {'accuracy': 0.9651162790697675, 'correct': 83, 'total': 86}, 'is the person': {'accuracy': 0.9333333333333333, 'correct': 14, 'total': 15}, 'what is the name': {'accuracy': 0.8, 'correct': 20, 'total': 25}, 'do you': {'accuracy': 0.8823529411764706, 'correct': 15, 'total': 17}, 'why is the': {'accuracy': 0.375, 'correct': 3, 'total': 8}, 'does this': {'accuracy': 0.9245283018867925, 'correct': 49, 'total': 53}, 'do': {'accuracy': 0.8709677419354839, 'correct': 27, 'total': 31}, 'what does the': {'accuracy': 0.6190476190476191, 'correct': 26, 'total': 42}, 'are the': {'accuracy': 0.8629032258064516, 'correct': 107, 'total': 124}, 'what color is': {'accuracy': 0.8484848484848485, 'correct': 28, 'total': 33}, 'what time': {'accuracy': 0.1875, 'correct': 6, 'total': 32}, 'which': {'accuracy': 0.5254237288135594, 'correct': 31, 'total': 59}, 'what is in the': {'accuracy': 0.7297297297297297, 'correct': 27, 'total': 37}, 'is this an': {'accuracy': 1.0, 'correct': 18, 'total': 18}, 'are there any': {'accuracy': 0.9333333333333333, 'correct': 28, 'total': 30}, 'could': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'how many people are in': {'accuracy': 0.6470588235294118, 'correct': 11, 'total': 17}, 'what is the woman': {'accuracy': 0.7647058823529411, 'correct': 13, 'total': 17}, 'what room is': {'accuracy': 0.9444444444444444, 'correct': 17, 'total': 18}, 'what is the person': {'accuracy': 0.5714285714285714, 'correct': 12, 'total': 21}, 'what sport is': {'accuracy': 1.0, 'correct': 17, 'total': 17}, 'is the woman': {'accuracy': 0.9259259259259259, 'correct': 25, 'total': 27}, 'is this person': {'accuracy': 0.7692307692307693, 'correct': 10, 'total': 13}, 'has': {'accuracy': 0.8571428571428571, 'correct': 12, 'total': 14}, 'what is the color of the': {'accuracy': 0.8571428571428571, 'correct': 12, 'total': 14}, 'what number is': {'accuracy': 0.8333333333333334, 'correct': 10, 'total': 12}}"
vqa_5k_inst_blind.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,vqa_5k,_inst_blind,0.3606,1803,5000,"{'what are': {'accuracy': 0.16216216216216217, 'correct': 6, 'total': 37}, 'what is the': {'accuracy': 0.13953488372093023, 'correct': 36, 'total': 258}, 'is this a': {'accuracy': 0.5562130177514792, 'correct': 94, 'total': 169}, 'is': {'accuracy': 0.5652173913043478, 'correct': 39, 'total': 69}, 'how many': {'accuracy': 0.29, 'correct': 145, 'total': 500}, 'is the': {'accuracy': 0.5885167464114832, 'correct': 246, 'total': 418}, 'does the': {'accuracy': 0.5625, 'correct': 45, 'total': 80}, 'what is': {'accuracy': 0.125, 'correct': 20, 'total': 160}, 'what': {'accuracy': 0.1657142857142857, 'correct': 58, 'total': 350}, 'what color is the': {'accuracy': 0.28938906752411575, 'correct': 90, 'total': 311}, 'none of the above': {'accuracy': 0.4393939393939394, 'correct': 87, 'total': 198}, 'are these': {'accuracy': 0.6133333333333333, 'correct': 46, 'total': 75}, 'what type of': {'accuracy': 0.15841584158415842, 'correct': 16, 'total': 101}, 'what color are the': {'accuracy': 0.3380281690140845, 'correct': 24, 'total': 71}, 'are there': {'accuracy': 0.6338028169014085, 'correct': 45, 'total': 71}, 'what are the': {'accuracy': 0.20588235294117646, 'correct': 14, 'total': 68}, 'can you': {'accuracy': 0.47368421052631576, 'correct': 9, 'total': 19}, 'where are the': {'accuracy': 0.07142857142857142, 'correct': 2, 'total': 28}, 'how': {'accuracy': 0.057692307692307696, 'correct': 3, 'total': 52}, 'what is on the': {'accuracy': 0.2, 'correct': 11, 'total': 55}, 'how many people are': {'accuracy': 0.3055555555555556, 'correct': 11, 'total': 36}, 'is there a': {'accuracy': 0.5350877192982456, 'correct': 61, 'total': 114}, 'is the man': {'accuracy': 0.5833333333333334, 'correct': 42, 'total': 72}, 'is there': {'accuracy': 0.5641025641025641, 'correct': 44, 'total': 78}, 'are they': {'accuracy': 0.5666666666666667, 'correct': 17, 'total': 30}, 'where is the': {'accuracy': 0.13414634146341464, 'correct': 11, 'total': 82}, 'is this': {'accuracy': 0.6105263157894737, 'correct': 116, 'total': 190}, 'who is': {'accuracy': 0.27586206896551724, 'correct': 8, 'total': 29}, 'is he': {'accuracy': 0.5833333333333334, 'correct': 14, 'total': 24}, 'is that a': {'accuracy': 0.7368421052631579, 'correct': 14, 'total': 19}, 'what animal is': {'accuracy': 0.375, 'correct': 6, 'total': 16}, 'what kind of': {'accuracy': 0.2014388489208633, 'correct': 28, 'total': 139}, 'what brand': {'accuracy': 0.15, 'correct': 3, 'total': 20}, 'are': {'accuracy': 0.5094339622641509, 'correct': 27, 'total': 53}, 'was': {'accuracy': 0.56, 'correct': 14, 'total': 25}, 'what is the man': {'accuracy': 0.1044776119402985, 'correct': 7, 'total': 67}, 'what color': {'accuracy': 0.15, 'correct': 6, 'total': 40}, 'what is this': {'accuracy': 0.11627906976744186, 'correct': 5, 'total': 43}, 'why': {'accuracy': 0.07317073170731707, 'correct': 3, 'total': 41}, 'is it': {'accuracy': 0.627906976744186, 'correct': 54, 'total': 86}, 'is the person': {'accuracy': 0.5333333333333333, 'correct': 8, 'total': 15}, 'what is the name': {'accuracy': 0.08, 'correct': 2, 'total': 25}, 'do you': {'accuracy': 0.5882352941176471, 'correct': 10, 'total': 17}, 'why is the': {'accuracy': 0.25, 'correct': 2, 'total': 8}, 'does this': {'accuracy': 0.6415094339622641, 'correct': 34, 'total': 53}, 'do': {'accuracy': 0.5806451612903226, 'correct': 18, 'total': 31}, 'what does the': {'accuracy': 0.11904761904761904, 'correct': 5, 'total': 42}, 'are the': {'accuracy': 0.6612903225806451, 'correct': 82, 'total': 124}, 'what color is': {'accuracy': 0.2727272727272727, 'correct': 9, 'total': 33}, 'what time': {'accuracy': 0.03125, 'correct': 1, 'total': 32}, 'which': {'accuracy': 0.2033898305084746, 'correct': 12, 'total': 59}, 'what is in the': {'accuracy': 0.16216216216216217, 'correct': 6, 'total': 37}, 'is this an': {'accuracy': 0.6666666666666666, 'correct': 12, 'total': 18}, 'are there any': {'accuracy': 0.4666666666666667, 'correct': 14, 'total': 30}, 'could': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'how many people are in': {'accuracy': 0.17647058823529413, 'correct': 3, 'total': 17}, 'what is the woman': {'accuracy': 0.23529411764705882, 'correct': 4, 'total': 17}, 'what room is': {'accuracy': 0.1111111111111111, 'correct': 2, 'total': 18}, 'what is the person': {'accuracy': 0.09523809523809523, 'correct': 2, 'total': 21}, 'what sport is': {'accuracy': 0.058823529411764705, 'correct': 1, 'total': 17}, 'is the woman': {'accuracy': 0.7407407407407407, 'correct': 20, 'total': 27}, 'is this person': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'has': {'accuracy': 0.5, 'correct': 7, 'total': 14}, 'what is the color of the': {'accuracy': 0.2857142857142857, 'correct': 4, 'total': 14}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 12}}"
spubench.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_SFT_mmstar_15_blind_instfold_0,spubench,,0.0,0,2400,"{'Unknown': {'accuracy': 0.0, 'correct': 0, 'total': 2400}}"
spubench_inst_blind.jsonl,OpenGVLab/InternVL3_5-8B/InternVL3_5-8B_SFT_mmstar_15_blind_instfold_0,spubench,_inst_blind,0.0,0,742,"{'Unknown': {'accuracy': 0.0, 'correct': 0, 'total': 742}}"
