,category,l2_category,question,answer,correct
664,instance reasoning,single-instance reasoning,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag",B,0.9090909090909091
6,coarse perception,image emotion,"What feeling is shown in this image?
Options: A: engaged, B: lonely, C: angry, D: supportive",B,0.8333333333333334
662,instance reasoning,single-instance reasoning,"Where is the rug in the living room located?
Options: A: Next to the door, B: Under the table, C: In front of the window, D: Under the couch",D,0.8181818181818182
773,logical reasoning,common reasoning,"Is there a teddy bear in the image?
Options: A: Can't tell, B: No, C: Yes, D: Maybe",B,0.8181818181818182
774,logical reasoning,common reasoning,"The object shown in this figure:
Options: A: Is a metallic element that is essential for life and commonly used in construction and manufacturing, B: Has a relatively low melting point of around 1,538°C, C: Is the most abundant element by mass in Earth's core, D: All of these options are correct.",D,0.8181818181818182
1150,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the minimum age group shown in the ‘plots’?
Choices:
(A) 11-15
(B) 21-25
(C) 0-5
(D) 16-20",C,0.8
1162,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the value of the smallest individual bar in the whole chart?
Choices:
(A) -18
(B) 8
(C) -8
(D) -4",C,0.8
556,instance reasoning,cross-instance relation reasoning,"What is the relationship between the people in the image?
Options: A: commercial, B: professional, C: friends, D: family",C,0.7727272727272727
141,coarse perception,image scene and topic,"Which is the main topic of the image
Options: A: A woman surfing, B: A man skiting, C: A man surfing, D: A woman skiting",C,0.7692307692307693
536,instance reasoning,cross-instance relation reasoning,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?
Options: A: sample A, B: sample B, C: neither; the samples have the same temperature, D: nan",B,0.7575757575757576
165,coarse perception,image style & quality,"What art style is evident in this image?
Options: A: watercolor, B: photography, C: vector art, D: pencil",C,0.75
3,coarse perception,image emotion,"What feeling is represented in this image?
Options: A: engaged, B: disordered, C: angry, D: supportive",B,0.75
927,logical reasoning,diagram reasoning,"which of the label show maximum leaf
Options: A: j, B: k, C: h, D: g",B,0.7272727272727273
461,instance reasoning,cross-instance attribute reasoning,"In the picture there are two objects stacked with cubes. Are they the same shape?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,0.7272727272727273
768,logical reasoning,common reasoning,"In the picture, which direction is the baby facing?
Options: A: left, B: right, C: up, D: down",B,0.7272727272727273
802,logical reasoning,common reasoning,"What will happen next?
Options: A: the kid is gonna slide through, B: the kid is gonna crash into the other kid, C: the other kid is gonna dodge, D: both A,B, and C",D,0.7272727272727273
