,qid,category,l2_category,question_en,answer,score,question_en,options,answer_type,question_kr
3,141,coarse perception,image scene and topic,"Which is the main topic of the image
 Options: A: A woman surfing, B: A man skiting, C: A man surfing, D: A woman skiting",C,0.769230769230769,"Which is the main topic of the image
 "," A: A woman surfing 여성이 서핑하는 것, B: A man skiting 남자가 스케이팅을 하는 것, C: A man surfing 남자가 서핑하는 것, D: A woman skiting 여자가 스케이팅을 하는 것",choice,이미지의 주요 주제는 무엇입니까?
1204,568,instance reasoning,cross-instance relation reasoning,"Which property do these four objects have in common?
 Options: A: sticky, B: hard, C: stretchy, D: nan",A,0.0,"Which property do these four objects have in common?
 ","A: sticky 끈적한, B: hard 딱딱한, C: stretchy 신축성 있는, D: nan 숫자가 아님",choice,이 네 객체가 공통으로 가지는 속성은 무엇입니까?
841,14,coarse perception,image emotion,"Which mood does this image convey?
 Options: A: Cozy, B: Anxious, C: Happy, D: Angry",C,0.162162162162162,"Which mood does this image convey?
 ","A: Cozy 아늑한, B: Anxious 불안한, C: Happy 행복한, D: Angry 화난",choice,이 이미지는 어떤 분위기를 전달하나요?
151,910,logical reasoning,diagram reasoning,"Which continent is highlighted?
 Options: A: Europe, B: South America, C: Antarctica, D: Africa",C,0.5,"Which continent is highlighted?
 ","A: Europe, B: South America, C: Antarctica, D: Africa A: 유럽, B: 남아메리카, C: 남극, D: 아프리카",choice,강조된 대륙은 어느 대륙입니까?
1056,560,instance reasoning,cross-instance relation reasoning,"Where is the little girl standing in relation to the old woman in the dress in the image?
 Options: A: Behind her, B: To the right of her, C: In front of her, D: To the left of her",B,0.0909090909090909,"Where is the little girl standing in relation to the old woman in the dress in the image?
 ","A: Behind her, 그녀의 뒤에 B: To the right of her, 그녀의 오른쪽에 C: In front of her, 그녀의 앞에 D: To the left of her, 그녀의 왼쪽에",choice,그 꼬마 소녀는 어떤 대상에 대해 어디에 서 있나요?
209,27,coarse perception,image scene and topic,"Can you identify the season in which the picture was taken?
 Options: A: spring, B: summer, C: fall, D: winter",D,0.416666666666667,"Can you identify the season in which the picture was taken?
 ","A: spring 봄, B: summer 여름, C: fall 가을, D: winter 겨울",choice,그 그림에서 묘사된 계절을 식별할 수 있나요?
524,167,coarse perception,image style & quality,"Which art style is showcased in this image?
 Options: A: depth of field, B: pencil, C: vector art, D: Baroque",B,0.25,"Which art style is showcased in this image?
 "," A: depth of field, B: pencil, C: vector art, D: Baroque A: 피사계 심도, B: 연필, C: 벡터 아트, D: 바로크",choice,이 이미지에 보여지는 예술 양식은 무엇인가요?
91,532,instance reasoning,cross-instance relation reasoning,"Based on the image, what is the significance of having two cakes on the table during the couple's celebration with their baby?
 Options: A: Having two cakes allows for different cake flavors or designs for their guests., B: Having two cakes signifies that the couple is celebrating multiple occasions or milestones., C: Having two cakes indicates a preference for abundance and excess., D: Having two cakes is a common practice in most celebrations of this nature.",B,0.545454545454545,"Based on the image, what is the significance of having two cakes on the table during the couple's celebration with their baby?
 ",A: Having two cakes allows for different cake flavors or designs for their guests. 두 케이크는 손님들을 위해 서로 다른 케이크 맛이나 디자인을 가능하게 한다. B: Having two cakes signifies that the couple is celebrating multiple occasions or milestones. 두 개의 케이크는 커플이 여러 가지 행사나 이정표를 축하하고 있음을 나타낸다. C: Having two cakes indicates a preference for abundance and excess. 두 개의 케이크를 갖는 것은 풍요와 과잉을 선호한다는 것을 나타낸다. D: Having two cakes is a common practice in most celebrations of this nature. 이런 종류의 축하 행사에서 두 개의 케이크를 가지는 것은 일반적인 관행이다.,choice,"이미지를 기반으로, o의 의미는 무엇입니까..."
1072,593,instance reasoning,single-instance reasoning,"The gas shown in this figure:
 Options: A: Is a colorless, odorless gas that is poisonous to humans and animals, B: Forms when fuels like gasoline, coal, and wood are burned without enough oxygen, C: Has a boiling point of -191.5°C, D: None of these options are correct.",A,0.0909090909090909,"The gas shown in this figure:
 ","  A: Is a colorless, odorless gas that is poisonous to humans and animals, B: Forms when fuels like gasoline, coal, and wood are burned without enough oxygen, C: Has a boiling point of -191.5°C, D: None of these options are correct. A: 인간과 동물에게 독성이 있는 무색 무취의 가스이다, B: 가솔린, 석탄, 목재와 같은 연료가 충분한 산소 없이 타고 있을 때 형성된다, C: 끓는점은 -191.5°C이다, D: 이들 중 올바른 것은 없다.",choice,이 그림에 보이는 가스:
706,17,coarse perception,image emotion,"Which mood does this image convey?
 Options: A: Sad, B: Anxious, C: Happy, D: Angry",D,0.189189189189189,"Which mood does this image convey?
 "," A: Sad, B: Anxious, C: Happy, D: Angry A: 슬픈, B: 불안한, C: 행복한, D: 화난",choice,이 이미지는 어떤 분위기를 전달합니까?
1067,526,instance reasoning,cross-instance attribute reasoning,"Which option describe the object relationship in the image correctly?
 Options: A: The sink contains the cat., B: The cat is beside the microwave., C: The cat is at the edge of the sink., D: The book is beside the cat.",A,0.0909090909090909,"Which option describe the object relationship in the image correctly?
 ",A: The sink contains the cat. 싱크대에 고양이가 있다. B: The cat is beside the microwave. 고양이는 전자레인지 옆에 있다. C: The cat is at the edge of the sink. 싱크대의 가장자리에 고양이가 있다. D: The book is beside the cat. 그 책은 고양이 옆에 있다.,choice,다음 중 어떤 옵션이 객체 간의 관계를 설명합니까?
1106,142,coarse perception,image scene and topic,"Which is the main topic of the image
 Options: A: Driving cars, B: Driving buses, C: A driving bus, D: A driving car",B,0.0833333333333333,"Which is the main topic of the image
 ","A: Driving cars 자동차 운전, B: Driving buses 버스 운전, C: A driving bus 운전 중인 버스, D: A driving car 운전 중인 자동차",choice,이미지의 주요 주제는 무엇입니까?
1092,426,fine-grained perception,recognition,"What is the subject of the image?
 Options: A: Green exit sign with an arrow pointing to the right, B: Sign of a toilet on the roof of a building, C: Green exit sign with a directional arrow, D: Green exit sign with an arrow pointing to the left",D,0.0833333333333333,"What is the subject of the image?
 "," A: Green exit sign with an arrow pointing to the right, B: Sign of a toilet on the roof of a building, C: Green exit sign with a directional arrow, D: Green exit sign with an arrow pointing to the left A: 오른쪽으로 향하는 화살표가 있는 초록색 출구 표지, B: 건물 옥상에 있는 화장실 표지, C: 방향 화살표가 있는 초록색 출구 표지, D: 왼쪽으로 향하는 화살표가 있는 초록색 출구 표지",choice,이미지의 주제가 무엇입니까?
