question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
611,469777002,yes,0.75,3.67,2025-11-24T14:21:48.454788,0756a860_20251124_133827,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,1.0,3.6,2025-12-11T00:06:09.967627,02f952bb_20251210_230336,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.75,4.8,2025-12-08T16:39:54.236430,14d2420f_20251208_150302,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,1.0,4.41,2025-12-02T11:08:17.804477,29127478_20251202_100107,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,1.0,1.72,2025-11-26T09:24:43.962239,218b2db5_20251126_084136,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,Yes,0.25,2.45,2025-11-26T15:51:18.034146,3238ebaf_20251126_140604,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,,Yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,1.0,3.03,2025-12-05T23:56:43.521575,3a36e078_20251205_225238,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.75,2.55,2025-11-27T15:24:07.654200,5d843d39_20251127_141921,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.5,2.19,2025-11-25T15:08:09.359557,6b3a1a8d_20251125_135446,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.75,3.04,2025-11-27T20:30:45.712565,b9b2cb98_20251127_193952,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.75,4.47,2025-12-12T01:03:54.355618,a5909497_20251211_232822,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.75,13.33,2025-12-09T17:39:18.994805,9c5d09f3_20251209_121033,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,Yes,0.75,1.95,2025-11-25T21:21:33.677738,d1548553_20251125_202324,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,있다,Yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.75,2.49,2025-12-03T22:39:27.195085,f616d5c7_20251203_212223,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,0.5,3.71,2025-12-05T16:08:51.297402,2e184452_20251205_141511_cleaned,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,yes,1.0,4.32,2025-11-28T23:25:07.212963,dd0f9986_20251128_222537,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,yes
611,469777002,no,0.75,3.71,2025-12-14T14:10:42.492648,74d408e5_20251213_134035,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,66.66666666666666,0.7868699550628662,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,no
611,469777002,No.,0.75,4.22,2025-12-04T22:22:54.607449,73df43f3_20251204_210431,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,아뇨,No.,no,66.66666666666666,0.7868699550628662,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,no
611,469777002,no,0.75,4.58,2025-12-11T01:22:35.491546,60de6bd6_20251210_170035,Question: Are the elephant in the wild? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,66.66666666666666,0.7868699550628662,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,are the,Yes/No,no
