,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
7043,602,169802000,0,1.0,5.48,2025-11-24T14:21:12.017310,0756a860_20251124_133827,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,,0,0,0.0,0.4316381484270096,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,0
7044,602,169802000,368 items,0.75,32.43,2025-12-11T00:04:06.772094,02f952bb_20251210_230336,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,368개,368 items,368 items,0.0,0.45007728040218353,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,368 items
7045,602,169802000,One thing,0.75,4.72,2025-12-08T16:39:14.620613,14d2420f_20251208_150302,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,1개,One thing,one thing,0.0,0.1933210998773575,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,1 thing
7046,602,169802000,Why are they wearing it?,0.5,10.43,2025-12-02T11:07:31.569289,29127478_20251202_100107,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,왜 입고 있죠?,Why are they wearing it?,why are they wearing it,0.0,0.0810763780027628,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,why are they wearing it
7047,602,169802000,No,1.0,7.67,2025-11-26T09:24:17.246631,218b2db5_20251126_084136,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,없다,No,no,0.0,0.2800853729248047,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,no
7048,602,169802000,2,0.25,7.1,2025-11-26T15:50:27.386319,3238ebaf_20251126_140604,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,,2,2,0.0,0.5042609989643096,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,2
7049,602,169802000,I don't know.,0.05,9.01,2025-12-05T23:56:03.047661,3a36e078_20251205_225238,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,모르겠습니다,I don't know.,i dont know,0.0,0.16458547189831735,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,i don't know
7050,602,169802000,0 pieces,1.0,4.46,2025-11-27T15:16:41.847657,5d843d39_20251127_141921,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,0개,0 pieces,0 pieces,0.0,0.3854652911424637,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,0 pieces
7051,602,169802000,0 pieces,0.25,13.66,2025-12-11T01:21:48.218060,60de6bd6_20251210_170035,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,0개,0 pieces,0 pieces,0.0,0.3854652911424637,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,0 pieces
7052,602,169802000,0 pieces,0.5,9.77,2025-11-25T15:07:28.862394,6b3a1a8d_20251125_135446,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,0개,0 pieces,0 pieces,0.0,0.3854652911424637,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,0 pieces
7053,602,169802000,How many...?,0.05,20.51,2025-12-04T22:21:28.036430,73df43f3_20251204_210431,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,어떻게....?,How many...?,how many,0.0,0.5319848179817199,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,how many
7054,602,169802000,2,0.75,3.17,2025-12-14T14:09:15.028378,74d408e5_20251213_134035,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,2개,2,2,0.0,0.5042609989643096,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,2
7055,602,169802000,0 pieces,1.0,5.74,2025-12-09T17:37:42.105368,9c5d09f3_20251209_121033,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,0개,0 pieces,0 pieces,0.0,0.3854652911424637,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,0 pieces
7056,602,169802000,none,0.75,9.68,2025-12-10T20:09:22.432479,825ff3e9_20251210_192335,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,,none,none,0.0,0.4858764261007309,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,0
7057,602,169802000,0 pieces,0.25,25.74,2025-12-12T01:02:58.931222,a5909497_20251211_232822,Question: How many bananas is this person wearing? Answer the question using a single word or phrase. Answer:,number,0개,0 pieces,0 pieces,0.0,0.3854652911424637,"['47+', '40', '39', '50', 'many', 'many', '30', 'lot', '40', '41']",40,Humans,humans,inst blind,how many,Number,0 pieces
