,0
0,나요
1,빅 5 게임이 뭔지 모르겠어요
2,투명색
3,휜색
4,낮
5,동물보호
6,양말
7,말
8,파랑
9,검정
10,서류
11,음식
12,날개
13,12시
14,체육관
15,운동화
16,아파트
17,포유류
18,공원
19,벽
20,학교
21,테이블위
22,학생
23,먹이
24,운반
25,화장
26,생일날
27,어두워서
28,반바지
29,여자
30,과속
31,걷는다
32,신발
33,고양이
34,노랑
35,종이배
36,하양
37,핑크
38,박스
39,커피
40,바나나
41,과자
42,나
43,9시
44,9시라구
45,노후관련
46,크록스
47,사무실
48,애완동물
49,정원
50,딸
51,배고파서
52,편하려구
53,예쁘니까
54,없어서
55,무단횡단
56,육식
57,방
58,스쿨
59,홈
60,내 앞에
61,좋아하는 일을 해서
62,밤이여서
63,김광현
64,돈
65,없어요
66,실험해요
67,학
68,봉고 블루
69,맥주
70,침대
71,밥
72,제육볶음
73,가발
74,11시8분
75,쪼리
76,보편적인 건물
77,건물 앞
78,침대 옆
79,주머니
80,친구 집
81,글쎄요
82,글리터 발라서
83,램프를 켜서
84,밤이라서
