,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
275,280,153782000,yes,1.0,4.39,2025-12-08T16:02:09.585615,14d2420f_20251208_150302,Is this a 3-D photo?,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
285,280,153782000,Yes,0.75,8.48,2025-12-13T14:15:58.628230,74d408e5_20251213_134035,Is this a 3-D photo?,yes/no,예,Yes,yes,100.0,0.9467174887657166,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
280,280,153782000,yes,1.0,5.92,2025-12-05T23:28:39.878225,3a36e078_20251205_225238,Is this a 3-D photo?,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
279,280,153782000,Yes,0.25,4.9,2025-11-26T15:07:23.409605,3238ebaf_20251126_140604,Is this a 3-D photo?,yes/no,,Yes,yes,100.0,0.9467174887657166,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
291,280,153782000,yes,0.75,4.72,2025-12-03T22:10:19.087053,f616d5c7_20251203_212223,Is this a 3-D photo?,yes/no,네,yes,yes,100.0,0.9467174887657166,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,yes
277,280,153782000,no,0.75,4.06,2025-12-02T10:38:42.019520,29127478_20251202_100107,Is this a 3-D photo?,yes/no,아니요,no,no,66.66666666666666,0.7868699550628662,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
273,280,153782000,No.,0.75,3.91,2025-11-24T13:56:39.187096,0756a860_20251124_133827,Is this a 3-D photo?,yes/no,아니다,No.,no,66.66666666666666,0.7868699550628662,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
274,280,153782000,no,0.75,5.67,2025-12-10T23:27:12.602018,02f952bb_20251210_230336,Is this a 3-D photo?,yes/no,아니요,no,no,66.66666666666666,0.7868699550628662,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
281,280,153782000,no,0.5,4.54,2025-11-27T14:44:37.622843,5d843d39_20251127_141921,Is this a 3-D photo?,yes/no,아니요,no,no,66.66666666666666,0.7868699550628662,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
282,280,153782000,no,0.75,4.33,2025-12-11T00:43:24.799088,60de6bd6_20251210_170035,Is this a 3-D photo?,yes/no,아니요,no,no,66.66666666666666,0.7868699550628662,"['yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
