file,model,dataset,condition,accuracy,correct,total,by_category
InternVL3_5-1B_mmstar.jsonl,OpenGVLab/InternVL3_5-1B,mmstar,,0.434,651,1500,"{'coarse perception': {'accuracy': 0.608, 'correct': 152, 'total': 250}, 'fine-grained perception': {'accuracy': 0.368, 'correct': 92, 'total': 250}, 'instance reasoning': {'accuracy': 0.532, 'correct': 133, 'total': 250}, 'logical reasoning': {'accuracy': 0.38, 'correct': 95, 'total': 250}, 'math': {'accuracy': 0.424, 'correct': 106, 'total': 250}, 'science & technology': {'accuracy': 0.292, 'correct': 73, 'total': 250}}"
InternVL3_5-1B_mmstar_blind.jsonl,OpenGVLab/InternVL3_5-1B,mmstar,_blind,0.27666666666666667,415,1500,"{'coarse perception': {'accuracy': 0.28, 'correct': 70, 'total': 250}, 'fine-grained perception': {'accuracy': 0.228, 'correct': 57, 'total': 250}, 'instance reasoning': {'accuracy': 0.352, 'correct': 88, 'total': 250}, 'logical reasoning': {'accuracy': 0.24, 'correct': 60, 'total': 250}, 'math': {'accuracy': 0.308, 'correct': 77, 'total': 250}, 'science & technology': {'accuracy': 0.252, 'correct': 63, 'total': 250}}"
InternVL3_5-1B_mmstar_inst_blind.jsonl,OpenGVLab/InternVL3_5-1B,mmstar,_inst_blind,0.25733333333333336,386,1500,"{'coarse perception': {'accuracy': 0.308, 'correct': 77, 'total': 250}, 'fine-grained perception': {'accuracy': 0.232, 'correct': 58, 'total': 250}, 'instance reasoning': {'accuracy': 0.3, 'correct': 75, 'total': 250}, 'logical reasoning': {'accuracy': 0.232, 'correct': 58, 'total': 250}, 'math': {'accuracy': 0.264, 'correct': 66, 'total': 250}, 'science & technology': {'accuracy': 0.208, 'correct': 52, 'total': 250}}"
InternVL3_5-1B_spubench.jsonl,OpenGVLab/InternVL3_5-1B,spubench,,0.5429166666666667,1303,2400,"{'Unknown': {'accuracy': 0.5429166666666667, 'correct': 1303, 'total': 2400}}"
InternVL3_5-1B_spubench_blind.jsonl,OpenGVLab/InternVL3_5-1B,spubench,_blind,0.42,1008,2400,"{'Unknown': {'accuracy': 0.42, 'correct': 1008, 'total': 2400}}"
InternVL3_5-1B_spubench_inst_blind.jsonl,OpenGVLab/InternVL3_5-1B,spubench,_inst_blind,0.3770833333333333,905,2400,"{'Unknown': {'accuracy': 0.3770833333333333, 'correct': 905, 'total': 2400}}"
InternVL3_5-1B_vqa_1k.jsonl,OpenGVLab/InternVL3_5-1B,vqa_1k,,0.702,702,1000,"{'what is the woman': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'is the man': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what is the': {'accuracy': 0.5384615384615384, 'correct': 28, 'total': 52}, 'is the': {'accuracy': 0.8863636363636364, 'correct': 78, 'total': 88}, 'is this': {'accuracy': 0.8, 'correct': 32, 'total': 40}, 'does this': {'accuracy': 0.8571428571428571, 'correct': 12, 'total': 14}, 'what is': {'accuracy': 0.6129032258064516, 'correct': 19, 'total': 31}, 'is': {'accuracy': 0.7692307692307693, 'correct': 10, 'total': 13}, 'what': {'accuracy': 0.5119047619047619, 'correct': 43, 'total': 84}, 'none of the above': {'accuracy': 0.6486486486486487, 'correct': 24, 'total': 37}, 'what are': {'accuracy': 0.6, 'correct': 6, 'total': 10}, 'what color is': {'accuracy': 0.75, 'correct': 6, 'total': 8}, 'is the woman': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many': {'accuracy': 0.5647058823529412, 'correct': 48, 'total': 85}, 'what type of': {'accuracy': 0.5263157894736842, 'correct': 10, 'total': 19}, 'what is in the': {'accuracy': 0.5454545454545454, 'correct': 6, 'total': 11}, 'what does the': {'accuracy': 0.5333333333333333, 'correct': 8, 'total': 15}, 'what is this': {'accuracy': 0.8, 'correct': 8, 'total': 10}, 'do': {'accuracy': 0.75, 'correct': 9, 'total': 12}, 'is this a': {'accuracy': 0.9024390243902439, 'correct': 37, 'total': 41}, 'is there a': {'accuracy': 0.9523809523809523, 'correct': 20, 'total': 21}, 'is this an': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'what is on the': {'accuracy': 0.46153846153846156, 'correct': 6, 'total': 13}, 'is there': {'accuracy': 0.8461538461538461, 'correct': 11, 'total': 13}, 'where is the': {'accuracy': 0.4, 'correct': 6, 'total': 15}, 'why': {'accuracy': 0.2857142857142857, 'correct': 2, 'total': 7}, 'what is the name': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'who is': {'accuracy': 0.5, 'correct': 3, 'total': 6}, 'are they': {'accuracy': 1.0, 'correct': 6, 'total': 6}, 'what kind of': {'accuracy': 0.625, 'correct': 15, 'total': 24}, 'does the': {'accuracy': 0.9285714285714286, 'correct': 13, 'total': 14}, 'what color is the': {'accuracy': 0.8305084745762712, 'correct': 49, 'total': 59}, 'what color are the': {'accuracy': 0.8181818181818182, 'correct': 9, 'total': 11}, 'what is the person': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'which': {'accuracy': 0.5, 'correct': 7, 'total': 14}, 'what color': {'accuracy': 0.8333333333333334, 'correct': 10, 'total': 12}, 'are the': {'accuracy': 0.7619047619047619, 'correct': 16, 'total': 21}, 'what is the man': {'accuracy': 0.46153846153846156, 'correct': 6, 'total': 13}, 'why is the': {'accuracy': 0.2, 'correct': 1, 'total': 5}, 'what are the': {'accuracy': 0.6153846153846154, 'correct': 8, 'total': 13}, 'what is the color of the': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'are these': {'accuracy': 0.9090909090909091, 'correct': 10, 'total': 11}, 'where are the': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'could': {'accuracy': 1.0, 'correct': 7, 'total': 7}, 'is it': {'accuracy': 1.0, 'correct': 15, 'total': 15}, 'how': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'can you': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'how many people are': {'accuracy': 0.7142857142857143, 'correct': 5, 'total': 7}, 'what animal is': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'has': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are': {'accuracy': 0.75, 'correct': 9, 'total': 12}, 'is that a': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'was': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are there': {'accuracy': 1.0, 'correct': 10, 'total': 10}, 'do you': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'what number is': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'what sport is': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'is he': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many people are in': {'accuracy': 0.25, 'correct': 1, 'total': 4}, 'are there any': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
InternVL3_5-1B_vqa_1k_blind.jsonl,OpenGVLab/InternVL3_5-1B,vqa_1k,_blind,0.309,309,1000,"{'what is the woman': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'is the man': {'accuracy': 0.8888888888888888, 'correct': 8, 'total': 9}, 'what is the': {'accuracy': 0.09615384615384616, 'correct': 5, 'total': 52}, 'is the': {'accuracy': 0.5909090909090909, 'correct': 52, 'total': 88}, 'is this': {'accuracy': 0.675, 'correct': 27, 'total': 40}, 'does this': {'accuracy': 0.5714285714285714, 'correct': 8, 'total': 14}, 'what is': {'accuracy': 0.06451612903225806, 'correct': 2, 'total': 31}, 'is': {'accuracy': 0.6923076923076923, 'correct': 9, 'total': 13}, 'what': {'accuracy': 0.08333333333333333, 'correct': 7, 'total': 84}, 'none of the above': {'accuracy': 0.40540540540540543, 'correct': 15, 'total': 37}, 'what are': {'accuracy': 0.1, 'correct': 1, 'total': 10}, 'what color is': {'accuracy': 0.25, 'correct': 2, 'total': 8}, 'is the woman': {'accuracy': 0.3333333333333333, 'correct': 1, 'total': 3}, 'how many': {'accuracy': 0.2, 'correct': 17, 'total': 85}, 'what type of': {'accuracy': 0.21052631578947367, 'correct': 4, 'total': 19}, 'what is in the': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'what does the': {'accuracy': 0.0, 'correct': 0, 'total': 15}, 'what is this': {'accuracy': 0.1, 'correct': 1, 'total': 10}, 'do': {'accuracy': 0.6666666666666666, 'correct': 8, 'total': 12}, 'is this a': {'accuracy': 0.5121951219512195, 'correct': 21, 'total': 41}, 'is there a': {'accuracy': 0.6190476190476191, 'correct': 13, 'total': 21}, 'is this an': {'accuracy': 0.4, 'correct': 2, 'total': 5}, 'what is on the': {'accuracy': 0.15384615384615385, 'correct': 2, 'total': 13}, 'is there': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'where is the': {'accuracy': 0.06666666666666667, 'correct': 1, 'total': 15}, 'why': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'what is the name': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'who is': {'accuracy': 0.16666666666666666, 'correct': 1, 'total': 6}, 'are they': {'accuracy': 0.6666666666666666, 'correct': 4, 'total': 6}, 'what kind of': {'accuracy': 0.125, 'correct': 3, 'total': 24}, 'does the': {'accuracy': 0.7857142857142857, 'correct': 11, 'total': 14}, 'what color is the': {'accuracy': 0.0847457627118644, 'correct': 5, 'total': 59}, 'what color are the': {'accuracy': 0.18181818181818182, 'correct': 2, 'total': 11}, 'what is the person': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'which': {'accuracy': 0.21428571428571427, 'correct': 3, 'total': 14}, 'what color': {'accuracy': 0.08333333333333333, 'correct': 1, 'total': 12}, 'are the': {'accuracy': 0.42857142857142855, 'correct': 9, 'total': 21}, 'what is the man': {'accuracy': 0.07692307692307693, 'correct': 1, 'total': 13}, 'why is the': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'what are the': {'accuracy': 0.07692307692307693, 'correct': 1, 'total': 13}, 'what is the color of the': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'are these': {'accuracy': 0.7272727272727273, 'correct': 8, 'total': 11}, 'where are the': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'could': {'accuracy': 0.5714285714285714, 'correct': 4, 'total': 7}, 'is it': {'accuracy': 0.6666666666666666, 'correct': 10, 'total': 15}, 'how': {'accuracy': 0.0, 'correct': 0, 'total': 8}, 'can you': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'how many people are': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what animal is': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'has': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'are': {'accuracy': 0.5, 'correct': 6, 'total': 12}, 'is that a': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'was': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'are there': {'accuracy': 0.4, 'correct': 4, 'total': 10}, 'do you': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'what sport is': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'is he': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many people are in': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'are there any': {'accuracy': 0.4444444444444444, 'correct': 4, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
InternVL3_5-1B_vqa_1k_inst_blind.jsonl,OpenGVLab/InternVL3_5-1B,vqa_1k,_inst_blind,0.315,315,1000,"{'what is the woman': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'is the man': {'accuracy': 0.7777777777777778, 'correct': 7, 'total': 9}, 'what is the': {'accuracy': 0.07692307692307693, 'correct': 4, 'total': 52}, 'is the': {'accuracy': 0.6022727272727273, 'correct': 53, 'total': 88}, 'is this': {'accuracy': 0.7, 'correct': 28, 'total': 40}, 'does this': {'accuracy': 0.6428571428571429, 'correct': 9, 'total': 14}, 'what is': {'accuracy': 0.0, 'correct': 0, 'total': 31}, 'is': {'accuracy': 0.6923076923076923, 'correct': 9, 'total': 13}, 'what': {'accuracy': 0.11904761904761904, 'correct': 10, 'total': 84}, 'none of the above': {'accuracy': 0.43243243243243246, 'correct': 16, 'total': 37}, 'what are': {'accuracy': 0.1, 'correct': 1, 'total': 10}, 'what color is': {'accuracy': 0.25, 'correct': 2, 'total': 8}, 'is the woman': {'accuracy': 0.3333333333333333, 'correct': 1, 'total': 3}, 'how many': {'accuracy': 0.25882352941176473, 'correct': 22, 'total': 85}, 'what type of': {'accuracy': 0.10526315789473684, 'correct': 2, 'total': 19}, 'what is in the': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'what does the': {'accuracy': 0.0, 'correct': 0, 'total': 15}, 'what is this': {'accuracy': 0.0, 'correct': 0, 'total': 10}, 'do': {'accuracy': 0.75, 'correct': 9, 'total': 12}, 'is this a': {'accuracy': 0.4634146341463415, 'correct': 19, 'total': 41}, 'is there a': {'accuracy': 0.5714285714285714, 'correct': 12, 'total': 21}, 'is this an': {'accuracy': 0.4, 'correct': 2, 'total': 5}, 'what is on the': {'accuracy': 0.15384615384615385, 'correct': 2, 'total': 13}, 'is there': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'where is the': {'accuracy': 0.0, 'correct': 0, 'total': 15}, 'why': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'what is the name': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'who is': {'accuracy': 0.3333333333333333, 'correct': 2, 'total': 6}, 'are they': {'accuracy': 0.6666666666666666, 'correct': 4, 'total': 6}, 'what kind of': {'accuracy': 0.16666666666666666, 'correct': 4, 'total': 24}, 'does the': {'accuracy': 0.7857142857142857, 'correct': 11, 'total': 14}, 'what color is the': {'accuracy': 0.0847457627118644, 'correct': 5, 'total': 59}, 'what color are the': {'accuracy': 0.09090909090909091, 'correct': 1, 'total': 11}, 'what is the person': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'which': {'accuracy': 0.21428571428571427, 'correct': 3, 'total': 14}, 'what color': {'accuracy': 0.08333333333333333, 'correct': 1, 'total': 12}, 'are the': {'accuracy': 0.5238095238095238, 'correct': 11, 'total': 21}, 'what is the man': {'accuracy': 0.0, 'correct': 0, 'total': 13}, 'why is the': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'what are the': {'accuracy': 0.07692307692307693, 'correct': 1, 'total': 13}, 'what is the color of the': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'are these': {'accuracy': 0.7272727272727273, 'correct': 8, 'total': 11}, 'where are the': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'could': {'accuracy': 0.42857142857142855, 'correct': 3, 'total': 7}, 'is it': {'accuracy': 0.6666666666666666, 'correct': 10, 'total': 15}, 'how': {'accuracy': 0.0, 'correct': 0, 'total': 8}, 'can you': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'how many people are': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what animal is': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'has': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'are': {'accuracy': 0.4166666666666667, 'correct': 5, 'total': 12}, 'is that a': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'was': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'are there': {'accuracy': 0.6, 'correct': 6, 'total': 10}, 'do you': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'what sport is': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'is he': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many people are in': {'accuracy': 0.25, 'correct': 1, 'total': 4}, 'are there any': {'accuracy': 0.5555555555555556, 'correct': 5, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
InternVL3_5-1B_vqa_5k.jsonl,OpenGVLab/InternVL3_5-1B,vqa_5k,,0.6782,3391,5000,"{'what are': {'accuracy': 0.5135135135135135, 'correct': 19, 'total': 37}, 'what is the': {'accuracy': 0.5736434108527132, 'correct': 148, 'total': 258}, 'is this a': {'accuracy': 0.8402366863905325, 'correct': 142, 'total': 169}, 'is': {'accuracy': 0.927536231884058, 'correct': 64, 'total': 69}, 'how many': {'accuracy': 0.576, 'correct': 288, 'total': 500}, 'is the': {'accuracy': 0.784688995215311, 'correct': 328, 'total': 418}, 'does the': {'accuracy': 0.8125, 'correct': 65, 'total': 80}, 'what is': {'accuracy': 0.46875, 'correct': 75, 'total': 160}, 'what': {'accuracy': 0.5314285714285715, 'correct': 186, 'total': 350}, 'what color is the': {'accuracy': 0.8102893890675241, 'correct': 252, 'total': 311}, 'none of the above': {'accuracy': 0.5959595959595959, 'correct': 118, 'total': 198}, 'are these': {'accuracy': 0.8, 'correct': 60, 'total': 75}, 'what type of': {'accuracy': 0.5247524752475248, 'correct': 53, 'total': 101}, 'what color are the': {'accuracy': 0.8309859154929577, 'correct': 59, 'total': 71}, 'are there': {'accuracy': 0.8309859154929577, 'correct': 59, 'total': 71}, 'what are the': {'accuracy': 0.4852941176470588, 'correct': 33, 'total': 68}, 'can you': {'accuracy': 0.7368421052631579, 'correct': 14, 'total': 19}, 'where are the': {'accuracy': 0.25, 'correct': 7, 'total': 28}, 'how': {'accuracy': 0.21153846153846154, 'correct': 11, 'total': 52}, 'what is on the': {'accuracy': 0.4909090909090909, 'correct': 27, 'total': 55}, 'how many people are': {'accuracy': 0.8055555555555556, 'correct': 29, 'total': 36}, 'is there a': {'accuracy': 0.8947368421052632, 'correct': 102, 'total': 114}, 'is the man': {'accuracy': 0.8333333333333334, 'correct': 60, 'total': 72}, 'is there': {'accuracy': 0.8333333333333334, 'correct': 65, 'total': 78}, 'are they': {'accuracy': 0.9, 'correct': 27, 'total': 30}, 'where is the': {'accuracy': 0.3902439024390244, 'correct': 32, 'total': 82}, 'is this': {'accuracy': 0.9, 'correct': 171, 'total': 190}, 'who is': {'accuracy': 0.4482758620689655, 'correct': 13, 'total': 29}, 'is he': {'accuracy': 0.8333333333333334, 'correct': 20, 'total': 24}, 'is that a': {'accuracy': 0.8947368421052632, 'correct': 17, 'total': 19}, 'what animal is': {'accuracy': 0.6875, 'correct': 11, 'total': 16}, 'what kind of': {'accuracy': 0.5107913669064749, 'correct': 71, 'total': 139}, 'what brand': {'accuracy': 0.5, 'correct': 10, 'total': 20}, 'are': {'accuracy': 0.7735849056603774, 'correct': 41, 'total': 53}, 'was': {'accuracy': 0.8, 'correct': 20, 'total': 25}, 'what is the man': {'accuracy': 0.6567164179104478, 'correct': 44, 'total': 67}, 'what color': {'accuracy': 0.725, 'correct': 29, 'total': 40}, 'what is this': {'accuracy': 0.5116279069767442, 'correct': 22, 'total': 43}, 'why': {'accuracy': 0.0975609756097561, 'correct': 4, 'total': 41}, 'is it': {'accuracy': 0.9186046511627907, 'correct': 79, 'total': 86}, 'is the person': {'accuracy': 0.9333333333333333, 'correct': 14, 'total': 15}, 'what is the name': {'accuracy': 0.64, 'correct': 16, 'total': 25}, 'do you': {'accuracy': 0.8235294117647058, 'correct': 14, 'total': 17}, 'why is the': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'does this': {'accuracy': 0.8679245283018868, 'correct': 46, 'total': 53}, 'do': {'accuracy': 0.8387096774193549, 'correct': 26, 'total': 31}, 'what does the': {'accuracy': 0.5714285714285714, 'correct': 24, 'total': 42}, 'are the': {'accuracy': 0.8709677419354839, 'correct': 108, 'total': 124}, 'what color is': {'accuracy': 0.7878787878787878, 'correct': 26, 'total': 33}, 'what time': {'accuracy': 0.125, 'correct': 4, 'total': 32}, 'which': {'accuracy': 0.576271186440678, 'correct': 34, 'total': 59}, 'what is in the': {'accuracy': 0.5135135135135135, 'correct': 19, 'total': 37}, 'is this an': {'accuracy': 0.9444444444444444, 'correct': 17, 'total': 18}, 'are there any': {'accuracy': 0.9666666666666667, 'correct': 29, 'total': 30}, 'could': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'how many people are in': {'accuracy': 0.5294117647058824, 'correct': 9, 'total': 17}, 'what is the woman': {'accuracy': 0.6470588235294118, 'correct': 11, 'total': 17}, 'what room is': {'accuracy': 0.8888888888888888, 'correct': 16, 'total': 18}, 'what is the person': {'accuracy': 0.5714285714285714, 'correct': 12, 'total': 21}, 'what sport is': {'accuracy': 0.9411764705882353, 'correct': 16, 'total': 17}, 'is the woman': {'accuracy': 0.7777777777777778, 'correct': 21, 'total': 27}, 'is this person': {'accuracy': 0.8461538461538461, 'correct': 11, 'total': 13}, 'has': {'accuracy': 0.5714285714285714, 'correct': 8, 'total': 14}, 'what is the color of the': {'accuracy': 0.8571428571428571, 'correct': 12, 'total': 14}, 'what number is': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}}"
